Sr.no.,State,"Persondays generated - 2013-14","Persondays generated - 2014-15","Persondays generated - 2015-16","Persondays generated - 2016-17 till 16/11/2016","No. of HH provided employment - 2013-14","No. of HH provided employment - 2014-15","No. of HH provided employment - 2015-16","No. of HH provided employment - 2016-17 till 16/11/2016"
1,"ANDHRA PRADESH",2994.7,1555.87,1991.09,1469.99,60.4,32.97,36.03,35.97
2,"ARUNACHAL PRADESH",36.56,19.05,50.46,32.63,1.4,1.36,1.81,1.58
3,ASSAM,298.47,210.89,486.44,253.79,12.62,9.67,15.02,9.96
4,BIHAR,862.35,352.73,671.44,349.74,20.59,10.36,14.89,11.72
5,CHHATTISGARH,1298.94,555.79,1014.02,650.23,25.12,17.48,21.74,18.48
6,GUJARAT,230.3,181.52,225.45,205.03,5.79,5.13,5.57,5.47
7,HARYANA,117.88,61.65,48.48,53.72,3.25,2.18,1.69,2.25
8,"HIMACHAL PRADESH",282.5,190.73,177.33,108.82,5.39,4.53,4.23,3.59
9,"JAMMU AND KASHMIR",338.12,120.9,316.39,61.7,6.58,3.32,6.53,1.95
10,JHARKHAND,436.22,453.28,585.68,492.01,11.39,11.11,11.26,13.89
11,KARNATAKA,718.86,433.7,599.08,520.9,14.5,10.95,12.37,12.72
12,KERALA,866.03,588.72,741.74,329.46,15.24,13.8,15.06,12.57
13,"MADHYA PRADESH",1229.48,1172.1,1237.58,561.61,29.09,27.89,27.02,17.47
14,MAHARASHTRA,517.36,613.88,763.5,511.08,11.44,11.6,12.75,12.02
15,MANIPUR,113.23,101.17,75.33,89.45,4.55,4.69,4.74,4.9
16,MEGHALAYA,215.88,167.35,199.71,106.7,3.64,3.51,3.68,2.86
17,MIZORAM,133.65,43.6,131.26,59.65,1.78,1.94,1.9,1.85
18,NAGALAND,183.8,89.93,218.76,179.48,4.08,4.05,4.17,4.18
19,ODISHA,711.82,534.84,894.49,511.78,17.1,14.68,19.98,16.05
20,PUNJAB,134.68,64.6,144.35,108.84,4.12,2.89,4.74,4.68
21,RAJASTHAN,1838.56,1685.46,2341.32,1729.35,36.15,36.85,42.21,39.12
22,SIKKIM,44.03,24.13,43.84,21.99,0.63,0.57,0.65,0.56
23,"TAMIL NADU",3677.23,2679.65,3686.75,2440.86,62.68,56.58,60.53,58.64
24,Telangana,0,1047.27,1416.67,795.47,0,24.63,25.62,23.25
25,TRIPURA,521.61,511.76,538.75,314.93,5.91,5.82,5.7,5.72
26,"UTTAR PRADESH",1753.6,1312.72,1822.49,1236.91,49.95,39.16,54.36,44.44
27,UTTARAKHAND,165.62,147.5,223.96,140.47,3.97,4.56,5.44,4.48
28,"WEST BENGAL",2296.34,1697.08,2865.07,1301.33,61.33,51.2,61.11,45.26
29,"ANDAMAN AND NICOBAR",8.03,5.11,2.57,1.39,0.17,0.13,0.09,0.07
30,"DADRA & NAGAR HAVELI",0,0,0,0,NR,NR,NR,0
31,"DAMAN & DIU",0,0,0,0,NR,NR,NR,0
32,GOA,1.15,1.72,1.07,0.7,0.05,0.07,0.06,0.06
33,LAKSHADWEEP,0.14,0.13,0.03,0,0.01,0,0,0
34,PUDUCHERRY,8.45,3.78,5.62,5.25,0.39,0.3,0.33,0.31
Total,Total,22035.58,16628.59,23520.72,14645.26,479.3,413.97,481.31,416.06
