"Sl. No.",States/UTs,"No. of BPL families identified (in lakhs)","Note of No. of BPL families identified (in lakhs)"
1,"Andhra Pradesh",29.893,NA
2,"Arunachal Pradesh",0.83,NA
3,Assam,18.728,NA
4,Bihar,113.41,NA
5,Chhattisgarh,17.892,NA
6,Delhi,NA,NA
7,Goa,0.071,NA
8,Gujarat,14.512,NA
9,Haryana,8.583,NA
10,H.P.,2.823,NA
11,"J & K",6.179,NA
12,Jharkhand,25.48,NA
13,Karnataka,18.306,**
14,Kerala,NA,NA
15,"Madhya Pradesh",54.684,**
16,Maharashtra,45.023,**
17,Manipur,1.693,NA
18,Meghalaya,2.052,NA
19,Mizoram,0.395,**
20,Nagaland,1.558,NA
21,Orissa,NA,NA
22,Punjab,3.445,NA
23,Rajasthan,17.362,NA
24,Sikkim,NA,NA
25,"Tamil Nadu",34.848,NA
26,Tripura,NA,NA
27,"Uttar Pradesh",100.271,NA
28,Uttarakhand,6.211,**
29,"West Bengal",68.005,**
30,"A & N Island*",0.107,NA
31,Chandigarh,NA,NA
32,"D&N Haveli",0.16,NA
33,"Daman & Diu",0.005,NA
34,Lakshadweep,NA,NA
35,Puducherry,NA,NA
Total,Total,592.526,NA
