S.No,States & UTs,Target Amount,Achievement Amount,% of Achievement
1,ANDHRA PRADESH,1200000,1158285.83,97%
2,KARNATAKA,412500,265119.43,64%
3,TAMIL NADU,600000,203581.16,34%
4,KERALA,100000,71325.75,71%
5,WEST BENGAL,92600,50344.12,54%
6,MAHARASHTRA,101100,41360.69,41%
7,ODISHA,90900,37157.45,41%
8,BIHAR,67000,13733.66,20%
9,MADHYA PRADESH,39500,13379.47,34%
10,UTTAR PRADESH,74800,11923.01,16%
11,RAJASTHAN,30700,11570.88,38%
12,CHATTISGARH,22400,9777.03,44%
13,GUJARAT,22000,7384.94,34%
14,ASSAM,31500,7312.49,23%
15,HARYANA,10400,2795.61,27%
16,HIMACHAL PRADESH,8900,2558.1,29%
17,JHARKHAND,21400,2075.15,10%
18,UTTARAKHAND,12800,1513.5,12%
19,PUNJAB,4000,777.53,19%
21,Goa,3300,651.82,20%
22,NAGALAND,1040,326.19,31%
23,TRIPURA,38880,196.99,1%
24,JAMMU & KASHMIR,1400,171.05,12%
26,MANIPUR,1440,109.69,8%
27,SIKKIM,710,107.54,15%
28,ARUNACHAL PRADESH,270,91.06,34%
29,MEGHALAYA,820,63.16,8%
30,MIZORAM,1160,19.27,2%
Total,Total,2991520,1913693.3,64%
