Sl.No,State/UT,"2014-2015 - Central Allocation","2014-2015 - Central Release (utilization)","2015-16 - Central Allocation","2015-16 - Central Release (utilization)","2016-2017 - Central Allocation","2016-2017 - Central Release (utilization)"
1,"Andhra Pradesh",922.84,887.85,581.9,747.32,538.6,779.29
2,Telangana,610.68,573.11,384.98,362.39,356.35,248.81
3,Bihar,2560.12,1322.71,1614.26,1219.16,1494.1,1177.68
4,Chhatisgarh,1457.76,1097.85,919.16,913.38,850.63,577.55
5,Goa,121.92,114.71,76.88,76.88,71.15,71.12
6,Gujarat,1588.24,1071.88,1210.46,1143.79,1120.25,901.27
7,Haryana,1162.56,1029.59,733.04,830.18,678.39,567.46
8,"Himachal Pradesh",669.52,621.89,422.14,447.8,586.02,628.91
9,"Jammu & Kashmir",1252.4,794.04,789.66,905.33,1096.21,652.5
10,Jharkhand,1499.44,929.43,983.16,872.41,909.94,1140.13
11,Karnataka,1660.96,1296.69,1047.28,1206.94,969.21,925.89
12,Kerala,909.08,596.57,573.1,744.47,530.47,778.57
13,"Madhya Pradesh",2850.24,2485.64,1797.16,1687.48,1663.21,1839.93
14,Maharashtra,2137.92,1700.8,1347.86,1802.4,1271.28,1675.93
15,Orissa,1899.4,1714.41,1197.54,1419.89,1108.39,1626.95
16,Punjab,1228.88,955.21,774.82,803.07,717.07,883.44
17,Rajasthan,1945.44,1808.84,1226.6,1435.05,1135.22,967.91
18,"Tamil Nadu",2065.16,2017.03,1301.96,1606.39,1205.12,1760.19
19,"Uttar Pradesh",4810.4,3127.84,3033.02,2549.36,2807.2,2886.97
20,Uttaranchal,774.32,660.8,488.22,397.68,677.77,215.53
21,"West Bengal",1298.2,785.79,851.66,454.09,788.25,536.19
22,"A & N Isaland",196.68,8,124.02,9,143.53,101.97
23,"D&N Haveli",65.56,8,41.34,8,47.84,47.8
24,"Daman & Diu",65.56,0,41.34,0,47.84,0
25,Lakshadweep,81.26,9,51.22,8,59.29,0
26,Pondicherry,81.26,25,51.22,25,59.29,40
"Sub Total","Sub Total",33915.8,25642.68,21664,21675.46,20932.64,21031.99
27,"Arunachal Pradesh",1126.74,1031.72,710.4,631.51,951.1,896.76
28,Assam,1912.04,1726.88,1205.54,1598.01,1394.84,1832.49
29,Meghalaya,677.64,506.58,427.22,213.61,494.27,251.95
30,Manipur,573.66,429.82,361.68,358.96,418.45,326.02
31,Nagaland,705.84,352.92,445.02,203.9,514.87,444.55
32,Mizoram,472.32,413.45,297.76,423.28,344.48,522
33,Sikkim,73.14,64.74,46.12,65.57,53.36,26.65
34,Tripura,542.82,331.21,342.26,237.03,395.99,159
"Sub Total","Sub Total",6084.2,4857.32,3836,3731.87,4567.36,4459.42
"Grand Total","Grand Total",40000,30500,25500,25407.33,25500,25491.41
