"Sr. No.",State/UT,"2016-17 - Sanctions","2017-18 - Sanctions","2018-19 - Sanctions"
1,"Andhra Pradesh",1054.28,1103.92,1309.62
2,"Arunachal Pradesh",255.47,336.2,341.97
3,Assam,858.82,809.53,1397.73
4,Bihar,1836.32,1604.25,1631.64
5,Chattisgarh,841.89,1097.5,1144.28
6,Goa,0,180.83,156.48
7,Gujarat,2274.4,2242.14,2423.59
8,Haryana,500.83,809.46,1299.29
9,"Himachal Pradesh",545.55,510.6,544.21
10,"Jammu & Kashmir",440.76,409.19,453.45
11,Jharkhand,1452.92,1638.38,1509.49
12,Karnataka,908.95,882.21,809.75
13,Kerala,673.99,507.08,726.56
14,"Madhya Pradesh",1855.1,2019.46,2236.87
15,Maharashtra,999.99,993.34,2202.62
16,Manipur,41.72,100.29,0
17,Meghalaya,99.11,130.07,210.97
18,Mizoram,153.11,245.43,165.48
19,Nagaland,47.63,6.97,17.86
20,Odisha,2515.33,2311.43,2474.27
21,Puducherry,52.77,60.1,18.04
22,Punjab,503.58,444.82,458.26
23,Rajasthan,1913.33,1829.49,1713.71
24,Sikkim,23.64,57.82,36.73
25,"Tamil Nadu",1923.27,1825.84,2185.21
26,Telangana,962.72,1006.29,1325.03
27,Tripura,270.91,264.26,152.22
28,"Uttar Pradesh",1799.82,1706.66,1606.95
29,Uttarakhand,914.8,806.28,670.96
30,"West Bengal",1322.82,1231.27,1267.35
Total,Total,27043.83,27171.11,30490.59
