Sl,State/UT,"Total No. of projects planned","No. of projects completed","No. of projects in-progress"
1,"Andaman and Nicobar Islands",372,194,54
2,"Andhra Pradesh",1350,798,87
3,"Arunachal Pradesh",216,37,27
4,Assam,2429,603,464
5,Bihar,4817,1718,601
6,Chandigarh,31,15,2
7,Chhattisgarh,3319,2215,243
8,"Dadra and Nagar Haveli",0,0,0
9,"Daman and Diu",52,32,7
10,Delhi,0,0,0
11,Goa,596,147,33
12,Gujarat,1783,1647,67
13,Haryana,1587,1055,113
14,"Himachal Pradesh",1349,673,106
15,"Jammu and Kashmir",837,406,102
16,Jharkhand,4236,2097,581
17,Karnataka,10315,7712,539
18,Kerala,4740,2883,702
19,Ladakh,91,53,1
20,Lakshadweep,79,29,36
21,"Madhya Pradesh",2587,1835,228
22,Maharashtra,7072,3107,789
23,Manipur,787,518,210
24,Meghalaya,334,87,87
25,Mizoram,511,357,45
26,Nagaland,71,16,14
27,Odisha,1422,612,159
28,Puducherry,72,18,39
29,Punjab,815,309,145
30,Rajasthan,4630,2803,512
31,Sikkim,234,121,50
32,"Tamil Nadu",5322,5050,158
33,Telangana,1753,919,204
34,Tripura,159,86,16
35,"Uttar Pradesh",6931,6151,236
36,Uttarakhand,765,587,52
37,"West Bengal",61,0,0
"Grand Total","Grand Total",71725,44890,6709
