States/UTs,"No. of GPs","No. of projects planned","No. of projects completed"
"Andaman And Nicobar Islands",2,242,57
"Andhra Pradesh",64,1068,335
"Arunachal Pradesh",7,216,28
Assam,35,2418,508
Bihar,78,3887,813
Chandigarh,2,31,14
Chhattisgarh,44,2666,1349
"Dadra And Nagar Haveli",1,0,0
"Daman And Diu",1,52,24
Delhi,13,0,0
Goa,5,172,80
Gujarat,71,1422,1014
Haryana,32,1445,894
"Himachal Pradesh",13,1008,347
"Jammu And Kashmir",14,843,349
Jharkhand,50,3806,1186
Karnataka,56,9316,3514
Kerala,72,2349,1016
Lakshadweep,1,79,4
"Madhya Pradesh",66,2531,1596
Maharashtra,125,6196,2696
Manipur,12,787,119
Meghalaya,7,320,86
Mizoram,5,514,304
Nagaland,3,71,16
Odisha,44,942,164
Puducherry,2,72,17
Punjab,32,778,243
Rajasthan,76,3361,1296
Sikkim,4,162,112
"Tamil Nadu",133,3946,3321
Telangana,45,1356,528
Tripura,4,159,79
"Uttar Pradesh",259,5743,4525
Uttarakhand,13,475,378
"West Bengal",9,61,0
Total,1400,58494,27012
