"Sl. No.","States/ UTs","2014-15 - No of Fellows","2014-15 - Stipend","2015-16 - No of Fellows","2015-16 - Stipend","2016-17 - No of Fellows","2016-17 - Stipend","2017-18 (Till 26.07.2017) - No of Fellows","2017-18 (Till 26.07.2017) - Stipend"
1,"Andhra Pradesh",9,7194894,9,6590482,9,4166264,3,335000
2,"Arunachal Pradesh",2,1598865,2,1464551,2,925836,1,90500
3,Assam,17,12790923,17,12448687,17,7869610,11,2642500
4,Bihar,32,25581845,28,20503721,25,11572955,7,1349750
5,Chhattisgarh,39,31177874,30,21968272,29,13424628,18,1838500
6,"Jammu & Kashmir",19,15189221,18,13180963,16,7406691,8,1413000
7,Jharkhand,52,41570499,44,32220132,42,19442565,17,3743000
8,"Madhya Pradesh",28,22384115,23,16842342,21,9721282,9,955500
9,Maharashtra,7,5596029,4,2929103,4,1851673,1,330000
10,Manipur,2,1598865,2,1464551,2,925836,1,247500
11,Meghalaya,3,2398298,2,1464551,2,925836,1,165000
12,Mizoram,2,1598865,2,1464551,2,925836,1,88000
13,Nagaland,2,1598865,2,1464551,2,925836,2,176000
14,Odisha,49,39172201,46,33684684,46,21294237,10,1875000
15,Telangana,13,10392625,12,8787309,10,4629182,5,904500
16,Tripura,2,1598865,2,1464551,2,925836,2,321750
17,"Uttar Pradesh",8,6395461,8,5858206,8,3703346,3,506900
18,"West Bengal",9,7194894,8,5858206,8,3703346,4,657250
Total,Total,295,235033205,259,189659415,247,114340797,104,17639650
