S.No,"States & Uts","Target - Total SHGs","Target - Total Loan Amount","Achievement - Total SHGs","Achievement - Total Loan Amount","Achievement Percentage(%) - Total SHGs","Achievement Percentage(%) - Total Loan Amount"
1,"ANDHRA PRADESH",281438,921400,175362,558472.64,62%,61%
2,"TAMIL NADU",300000,600000,147614,379914.18,49%,63%
3,KARNATAKA,225000,292500,208742,368406.35,93%,126%
4,TELANGANA,184887,537300,120089,348555.05,65%,65%
5,"WEST BENGAL",143435,101880,126226,108903.16,88%,107%
6,KERALA,80000,100000,50534,106982.34,63%,107%
7,MAHARASHTRA,40900,30000,41604,53128.91,102%,177%
8,ODISHA,50000,50000,43272,51289.58,87%,103%
9,BIHAR,165865,94100,30827,21560.51,19%,23%
10,GUJARAT,17800,13200,14452,13691.74,81%,104%
11,RAJASTHAN,14500,7750,13217,13167.03,91%,170%
12,"MADHYA PRADESH",35000,50000,12595,11794.64,36%,24%
13,ASSAM,59000,35000,10775,9075.85,18%,26%
14,CHATTISGARH,15000,8000,7353,8905.18,49%,111%
15,"UTTAR PRADESH",2000,1000,5143,8371.17,257%,837%
16,PUDUCHERRY,0,0,1298,3323.54,NA,NA
17,JHARKHAND,35000,20000,3026,3051.17,9%,15%
18,"HIMACHAL PRADESH",8000,4800,1326,2373.21,17%,49%
19,HARYANA,7500,4500,872,1013.45,12%,23%
20,"JAMMU & KASHMIR",4000,2000,1600,933.96,40%,47%
21,NAGALAND,2500,1250,556,904.64,22%,72%
22,PUNJAB,4000,2000,295,460.3,7%,23%
23,TRIPURA,1500,750,816,422.16,54%,56%
24,UTTARAKHAND,9000,4500,342,316.38,4%,7%
25,MANIPUR,1000,500,71,64.92,7%,13%
26,"ARUNACHAL PRADESH",500,250,13,27.95,3%,11%
27,SIKKIM,1000,500,58,26.8,6%,5%
28,MIZORAM,1500,750,4,9.25,0%,1%
29,MEGHALAYA,2500,1250,3,5.05,0%,0%
Total,Total,1692825,2885180,1018085,2075151.11,60%,72%
