S.No,"States & Uts","Target - Total SHGs","Target - Total Loan Amount","Achievement - Total SHGs","Achievement - Total Loan Amount","Achievement Percentage(%) - Total SHGs","Achievement Percentage(%) - Total Loan Amount"
1,"ANDHRA PRADESH",280000,977000,109189,356575.5,39%,36%
2,"TAMIL NADU",150000,442000,69025,183064.52,46%,41%
3,KARNATAKA,156250,250000,69540,181377.11,45%,73%
4,TELANGANA,188000,615000,47975,155205.32,26%,25%
5,KERALA,42500,133000,23988,63907.36,56%,48%
6,"WEST BENGAL",95200,123000,56365,44188.99,59%,36%
7,MAHARASHTRA,38800,71000,28045,28231.01,72%,40%
8,ODISHA,50000,58000,22214,27263.82,44%,47%
9,BIHAR,35500,23000,17355,9495.07,49%,41%
10,RAJASTHAN,15400,16000,6171,7345.11,40%,46%
11,CHATTISGARH,10300,14000,8471,7282.3,82%,52%
12,GUJARAT,17100,14000,7038,7207.2,41%,51%
13,"MADHYA PRADESH",35000,30000,4556,5573.57,13%,19%
14,ASSAM,10200,10000,6856,4683.81,67%,47%
15,JHARKHAND,3600,4000,2618,3549.45,73%,89%
16,"UTTAR PRADESH",8000,14000,2614,2681.27,33%,19%
17,PUDUCHERRY,1900,3000,735,1943.14,39%,65%
18,HARYANA,1100,2000,621,729.64,56%,36%
19,"HIMACHAL PRADESH",1800,3000,289,475.68,16%,16%
20,GOA,320,100,150,397.28,47%,397%
21,PUNJAB,500,600,184,298.21,37%,50%
22,UTTARAKHAND,1500,1000,163,137.48,11%,14%
23,NAGALAND,600,800,42,93.76,7%,12%
24,"JAMMU & KASHMIR",1800,900,107,93.4,6%,10%
25,MANIPUR,100,50,52,38.85,52%,78%
26,"ARUNACHAL PRADESH",100,50,7,34.74,7%,69%
27,SIKKIM,100,50,43,20.03,43%,40%
28,TRIPURA,600,350,31,14.25,5%,4%
29,MEGHALAYA,300,150,3,2.75,1%,2%
30,MIZORAM,300,150,0,0,0%,0%
Total,Total,1146870,2806200,484447,1091910.62,42%,39%
