Sr.No,"State / UT","Identi fied GP's","No. of GPs Uploa ded VDP","Total Number of Projects","No. of Project s Comple ted","No. of Project s In- Progre ss","No. of Projects yet to Start","No. of GPs updated VDP Progress"
1,"ANDAMAN AND NICOBAR ISLANDS",1,1,242,11,78,153,1
2,"ANDHRA PRADESH",32,15,415,100,61,254,11
3,"ARUNACHAL PRADESH",3,3,216,28,27,161,3
4,ASSAM,21,21,2017,162,501,1354,21
5,BIHAR,53,52,3780,575,411,2794,27
6,CHANDIGARH,1,1,18,12,2,4,1
7,CHHATTISGARH,16,16,1727,1008,333,386,16
8,"DADRA AND NAGAR HAVELI",1,0,0,0,0,0,0
9,"DAMAN AND DIU",1,1,52,24,8,20,1
10,DELHI,8,0,0,0,0,0,0
11,GOA,3,3,172,27,10,135,1
12,GUJARAT,37,37,964,429,294,241,37
13,HARYANA,15,15,861,471,257,133,15
14,"HIMACHAL PRADESH",7,7,595,163,94,338,7
15,"JAMMU AND KASHMIR",10,10,782,278,104,400,9
16,JHARKHAND,20,20,2311,535,592,1184,20
17,KARNATAKA,39,39,6906,2371,797,3738,29
18,KERALA,31,30,1665,388,503,774,30
19,LAKSHADWEEP,1,1,158,8,118,32,1
20,"MADHYA PRADESH",37,37,1989,1139,365,485,37
21,MAHARASHTRA,70,70,5221,2154,870,2197,70
22,MANIPUR,3,3,163,28,68,67,3
23,MEGHALAYA,4,4,320,86,87,147,4
24,MIZORAM,2,2,258,144,40,74,2
25,NAGALAND,2,2,71,16,14,41,2
26,ODISHA,28,24,372,58,13,301,7
27,PUDUCHERRY,2,2,72,17,40,15,2
28,PUNJAB,20,20,742,172,199,371,19
29,RAJASTHAN,34,34,1611,544,317,750,34
30,SIKKIM,2,2,42,30,12,0,2
31,"TAMIL NADU",58,58,2840,1056,701,1083,58
32,TELANGANA,22,22,1099,363,245,491,21
33,TRIPURA,3,3,159,47,42,70,3
34,"UTTAR PRADESH",104,104,2723,1284,472,967,85
35,UTTARAKHAND,7,7,378,265,65,48,7
36,"WEST BENGAL",5,1,61,0,0,61,0
Total,Total,703,667,41002,13993,7740,19269,586
