state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,scheme_id,schemes_sources_id,source_type,sourcetype_category,location,scheme_name,sanction_year,estimated_cost,expenditure,dateof_commencement,dateof_completion,update_date
"Andhra Pradesh",Guntur,Amaravathi,Dharanikota,Dharanikota,Dharanikota,0000015346,0002292591,1892865,"Deep Tubewell","Ground Water","Piter (HW)",HANDPUMP,1988-1989,0.10000,0.10000,"31 Mar 1989","31 Mar 1989",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lingapuram,Lingapuram,Lingapuram,0000015345,0002292564,1895558,"Deep Tubewell","Ground Water",NA,HANDPUMP,2000-2001,0.30000,0.30000,"31 Mar 2001","31 Mar 2001",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lingapuram,Lingapuram,Lingapuram,0000015345,0002292563,1895557,"Deep Tubewell","Ground Water",NA,HANDPUMP,1999-2000,0.20000,0.20000,"31 Mar 2000","31 Mar 2000",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Malladi,Malladi,0000015343,0002292544,1895508,"Deep Tubewell","Ground Water","B Venkata Narasimha rao H",HANDPUMP,1999-2000,0.37000,0.37000,"30 Nov 1999","30 Nov 1999",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Unguturu,Unguturu,Unguturu,0000015357,0006468615,120055789,"Deep Tubewell","Ground Water",UNGUTURU(0710309016011700),"PROVIDING DRINKING WATER FACILITIES TO MPUPS UNGUTURU (V) OF AMARAVATHI (M)",2011-2012,0.25000,0.24991,"05 Nov 2013","05 Dec 2013",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Vykuntapuram,Vykuntapuram,Vykuntapuram,0000015349,0007893368,120135470,River,"Surface Water","SC COLONY","Extension of CPWS Scheme from Amaravathi to Didugu and two other habitations in Amaravathi Mandal",2017-2018,87.00000,85.33000,"07 Feb 2019","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Endroy,Endroy,Chavapadu,0000015354,0007209297,120135478,"Deep Tubewell","Ground Water",CHAVAPADU,"PWS SCHEME TO CHAVAPADU",2001-2002,16.00000,16.00000,"09 Apr 2002","09 Apr 2003",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lemalle,Karlapudi,Lemalle,0001670921,0007209289,120135483,"Khadins/ Nadis/ Tankas/ Ponds/ Wells/ Ooranis",Traditional,"SC COLONY","PWSSCHEME TO LEMALLE",1986-1987,12.50000,12.50000,"14 Sep 1992","14 Sep 1993",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lemalle,Karlapudi,Lemalle,0001670921,0007209289,120135484,"Khadins/ Nadis/ Tankas/ Ponds/ Wells/ Ooranis",Traditional,"BC COLONY","PWSSCHEME TO LEMALLE",1986-1987,12.50000,12.50000,"14 Sep 1992","14 Sep 1993",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Pondugala,Pondugala,0001686468,0007209296,120136080,River,"Surface Water",PONDUGALA,"PWS SCHEME TO PONDUGALA",2000-2001,15.00000,15.00000,"05 May 2005","05 May 2006",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Pondugala,Pondugala,0001686468,0008205131,120136080,River,"Surface Water",PONDUGALA,"Providing FHTCs in Pondugala Habitation by utilizing existing infrastructure and Retrofitting Augmentation in Amaravathi Mandal of Guntur District (89010701200120)",2020-2021,23.00000,0.00000,"01 Feb 2021","03 May 2023",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lingapuram,Lingapuram,Lingapuram,0000015345,0007210836,120136089,"Deep Tubewell","Ground Water",ZPHS,"AUGMENTATION OF PWS SCHEME TO LINGAPURAM IN AMARAV",2009-2010,4.81000,4.81000,"09 Aug 2009","09 Aug 2010",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Pondugala,Pondugala,0001686468,0002360310,120242358,"Deep Tubewell","Ground Water","NEAR PWS SCHEME","PWS SCHEME TO PONDUGALA",2000-2001,15.00000,15.00000,"05 May 2000","31 Mar 2012",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Attaluru,Attaluru,Attaluru,0000015340,0002292475,1895454,"Deep Tubewell","Ground Water","NAGESWARAO HOUSE",HANDPUMP,1991-1992,0.31000,0.31000,"30 May 1991","30 May 1991",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Munagodu,Munagodu,Munagodu,0000015337,0002292445,1895433,"Deep Tubewell","Ground Water","Venkateswarlu House",HANDPUMP,1988-1989,0.10000,0.10000,"31 Mar 1989","31 Mar 1989",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Malladi,Malladi,0000015343,0002292542,1895529,"Deep Tubewell","Ground Water","NEAR VENMATA RAO HOUSE",HANDPUMP,1984-1985,0.10000,0.10000,"31 Mar 1985","31 Mar 1985",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Malladi,Malladi,0000015343,0002292535,1895515,"Deep Tubewell","Ground Water","VeeraBadraiah House",HANDPUMP,1979-1980,0.10000,0.10000,"31 Mar 1980","31 Mar 1980",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Malladi,Malladi,Malladi,0000015343,0002292540,1895513,"Deep Tubewell","Ground Water","Kotaiah House",HANDPUMP,1998-1999,0.20000,0.20000,"31 Mar 1999","31 Mar 1999",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Jupudi,Jupudi,Jupudi,0000015341,0002292504,1895483,"Deep Tubewell","Ground Water","Venkata Rao House",HANDPUMP,1983-1984,0.10000,0.10000,"31 Mar 1984","31 Mar 1984",2024-06-07
"Andhra Pradesh",Guntur,Amaravathi,Lingapuram,Lingapuram,Lingapuram,0000015345,0005050882,4977623,"PWS Ground Water Source","Ground Water",NA,"AUGMENTATION OF PWS SCHEME TO LINGAPURAM (V) OF AMARAVATHI (M)",2011-2012,15.00000,13.50000,"02 Apr 2012","31 Mar 2013",2024-06-07
