StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Andhra Pradesh",ANANTAPUR,AGALI,AGALI,1321,1321,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,HALIKERA,377,377,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,HULLEKERADEVARAHALLI,373,373,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,INGALORE,788,788,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,IREGEPALLI,181,181,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,KODIHALLI,422,422,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,MADHUDI,676,676,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,NARASAMBUDI,625,625,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,P.BYADIGERA,506,506,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,RAGELINGANAHALLI,341,341,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AGALI,RAVUDI,764,764,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AMADAGUR,AMADAGUR,1161,1161,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AMADAGUR,CHEEKIREVULAPALLI,315,315,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AMADAGUR,CHINAGANIPALLI,566,566,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AMADAGUR,GUNDUVARIPALLI,287,287,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AMADAGUR,JOWKULAKOTHAPALLI,499,499,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AMADAGUR,KASSAMUDRAM,499,499,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",ANANTAPUR,AMADAGUR,MOHAMMADABAD,781,781,"5/19/2020 12:00:00 AM"
