StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Arunachal Pradesh",ANJAW,CHAGLAGAM,CHAGLONGAM,115,115,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,CHAGLAGAM,HAMALIANG,217,217,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,CHAGLAGAM,KROMNA,87,87,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,CHAGLAGAM,MAILIANG,72,72,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,CHAGLAGAM,MATENGLIANG,179,179,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,CHAGLAGAM,PAILIANG,54,54,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,CHAGLAGAM,ROILIANG,125,125,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,CHAGLAGAM,TAFLAGAM,104,104,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,BLONG,82,82,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,HALAIKRONG,124,124,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,KAMBLAT,93,93,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,KIBITHOO,218,218,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,LAUTUL,177,177,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,LONGLIANG,91,91,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,MECHONG,66,66,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,SARTI,224,224,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,SHIRONG,149,149,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,TAMBLU,262,262,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,WALLA,230,230,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,WALONG,108,108,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAWAI-WALONG,WATONG,93,93,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,AMLIANG,50,50,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,BARAFU,52,52,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,BRAIGONG,55,55,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,DANGLAT,66,66,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,GAMLIANG,53,53,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,GOILIANG,89,89,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,HAYULIANG,352,352,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,LAMKONG-MACHIMA,65,65,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,MOHIKONG,89,89,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,NILANG,64,64,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,SUPLANG,164,164,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,HAYULIANG,TAFRALIANG,163,163,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,MANCHAL,CHAMBAB,63,63,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,MANCHAL,KHULIANG,92,92,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,MANCHAL,MANCHAL,141,141,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,MANCHAL,PANGUNG,33,33,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,MANCHAL,QUIBANG,54,54,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,MANCHAL,SIET,112,112,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,MANCHAL,TEHULIANG,46,46,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",ANJAW,MANCHAL,YATONG,207,207,"5/19/2020 12:00:00 AM"
