StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",AHILDA,1110,1110,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",AMALIDIH,634,634,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",AMALKUNDA,350,350,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",ARJUNI,858,858,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BAGBUDA,580,580,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BAMHANPURI,167,167,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BARDA,759,759,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BAZARBHATA,471,471,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BEMETARA,327,327,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BHADRA,209,209,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BHADRAPALI,94,94,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BHARSELA(BADA),297,297,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BHARSELA(NAYA),492,492,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BHARSELI,434,434,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BHARUWADIH,583,583,"5/19/2020 12:00:00 AM"
Chhattisgarh,"BALODA BAZAR","BALODA BAZAR",BITKULI,819,819,"5/19/2020 12:00:00 AM"
