StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,BEGUSARAI,BACHHWARA,ARWA,2537,2537,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,BACHHAWARA,2342,2342,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,BHIKHAMCHAK,2824,2824,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,BISANPUR,891,891,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,CHAMATHA-I,658,658,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,CHAMATHA-II,489,489,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,CHAMATHA-III,803,803,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,CHIRANJIPUR,2088,2088,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,DADPUR,1484,1484,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,FATEHA,1807,1807,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,GODHANA,2409,2409,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,GOVINDPUR-III,2748,2748,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,KAIDARABAD,2555,2555,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,RANI-I,2848,2848,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,RANI-II,2653,2653,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,RANI-III,507,507,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,"RASID PUR",1893,1893,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BACHHWARA,RUDOULI,2508,2508,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,BAGBAN,2640,2640,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,BAHUARA,1367,1367,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,"BAKHARI EAST",2006,2006,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,CHAKHAMID,1715,1715,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,GHAGHRA,1755,1755,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,MOHANPUR,1533,1533,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,PARIHARA,1691,1691,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,RATAN,2593,2593,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,SALAUNA,1731,1731,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BAKHRI,SHAKARPURA,1082,1082,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,"BARI BALIA SOUTH",1175,1175,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,"BARIBALIA NORTH",2664,2664,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,BARIYARPUR,899,899,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,BHAGATPUR,2613,2613,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,"BHAWANAND PUR",780,780,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,FATEHPUR,2667,2667,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,"MANSER PUR",1397,1397,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,"NOORJAMMA PUR",936,936,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,PAHARPUR,2327,2327,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,"PARMANAND PUR",1757,1757,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,POKHARIA,3123,3123,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,RAHATPUR,916,916,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,SALECHAK,3003,3003,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BALLIA,TAJPUR,2265,2265,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,AMARPUR,1601,1601,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,BABHAGAMA,2159,2159,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,BATHOULI,2753,2753,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,HAZIPUR,2776,2776,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,KESHAWE,2694,2694,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,MAHANA,4352,4352,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,MAIDABABHANGAMA,1878,1878,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,"MALHIPUR (NORTH)",1073,1073,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,"MALHIPUR (SOUTH)",1060,1060,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,MOSADPUR,1411,1411,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,NINGA,2532,2532,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,NOORPUR,2382,2382,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,PAPROUR,1525,1525,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,"PIPRA DEWAS",1963,1963,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,SAHURI,2003,2003,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,SIMARIA-I,2002,2002,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BARAUNI,SIMARIA-II,1829,1829,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,AJHOUR,933,933,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,AMRAPUR,904,904,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,BAHDARPUR,2544,2544,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,BANDUAR,1920,1920,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,BHAIRWAR,1764,1764,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,"BINOD PUR",1505,1505,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,CHANDPURA,1677,1677,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,CHILMIL,1837,1837,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,DHABOULI,1457,1457,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,HAIBATPUR,2135,2135,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,JINEDPUR,1915,1915,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,KAITH,1492,1492,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,KHAMHAR,1418,1418,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,KUSHAMAUT,1061,1061,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,LAKHO,2532,2532,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,LARUARA,581,581,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,"MOHAN PUR",1747,1747,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,NEEMA,1518,1518,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,PACHAMBA,2509,2509,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,PARNA,2013,2013,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,RACHIYAHI,1613,1613,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,RAJAURA,2111,2111,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,SAHPUR,2040,2040,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,SHANKH,2750,2750,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BEGUSARAI,SUJA,3110,3110,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,BANWARIPUR,1940,1940,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,BHITHSARI,2238,2238,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,CHANDOUR,1426,1426,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,"DAMODAR PUR",2261,2261,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,JOKIA,1610,1610,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,KAZI-RASALPUR,1608,1608,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,"KIRAT PUR",1753,1753,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,LAKHANPUR,2254,2254,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,"MAHESH PUR",2184,2184,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,MEHDOULI,1841,1841,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,MOKHTIYARPUR,2353,2353,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,"NARHARI PUR",1318,1318,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,RASALPUR,2642,2642,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,SANJAT,2008,2008,"5/19/2020 12:00:00 AM"
Bihar,BEGUSARAI,BHAGWANPUR,TAKIYA,2223,2223,"5/19/2020 12:00:00 AM"
