StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,BHAGALPUR,BIHPUR,BABHANGAMA,1345,1345,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"BIHPUR  MIDDLE",1706,1706,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"BIHPUR EAST",1541,1541,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"BIHPUR JAMALPUR",1871,1871,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"BIHPUR SOUTH",2212,2212,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"DHRAMPUR RATTI",2200,2200,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,HARIO,1161,1161,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"JHANDAPUR   WEST",1717,1717,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"JHANDAPUR EAST",2188,2188,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"LATTIPUR   SOUTH",2109,2109,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"LATTIPUR NORTH",1753,1753,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"MARWA  WEST",1449,1449,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,BIHPUR,"MARWA EAST",2026,2026,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,ANTICHAK,490,490,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,"BANSI PUR",998,998,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,BHOLSAR,3151,3151,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,BIRBANNA,559,559,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,DHANORA,1131,1131,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,EKCHARI,1616,1616,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,EKDARA,2089,2089,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,GHOGHA,2703,2703,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,"JANI DIH",1566,1566,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,KAIRIYA,2733,2733,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,"KISUNDAS PUR",743,743,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,KODWAR,728,728,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,KURMA,1237,1237,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,LAGAMA,792,792,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,"MAHESA MUNDA",1528,1528,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,"MATHURA PUR",1921,1921,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,"MOHANPUR GOGHATTA",1109,1109,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,"NANDLAL PUR",1699,1699,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,OGARI,1242,1242,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,ORIUP,1599,1599,"5/19/2020 12:00:00 AM"
Bihar,BHAGALPUR,COLGONG,"PAKKI SARAI",316,316,"5/19/2020 12:00:00 AM"
