StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,BHOJPUR,AGIAON,AGIAON,3792,3792,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,BADGAON,1436,1436,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,BARUNA,1077,1077,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,CHASI,1628,1628,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,DILIYAN,1969,1969,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,KARBASIN,2229,2229,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,KHOPIRA,1893,1893,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,KIRKIRI,2346,2346,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,NANOUR,856,856,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,"NARAYAN PUR",1264,1264,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,PAWANA,2010,2010,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,PAWAR,2147,2147,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,POSWAN,1759,1759,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,RATNARH,1779,1779,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,AGIAON,SEWATHA,1723,1723,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,AGARSANDA,2955,2955,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,BAGHIPAKAR,1664,1664,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,BASANTPUR,1524,1524,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,BHKURA,1560,1560,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,DAULATPUR,1150,1150,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,DHAMAR,923,923,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,GANGHAR,2374,2374,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,GOTHAHULA,2442,2442,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,IJARI,2130,2130,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,JAMIRA,1912,1912,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,KAJURIA,2730,2730,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,KARARI,1647,1647,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,MAHULI,3315,3315,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,"MAKHDUMPUR DUMRA",1607,1607,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,PIPRAHIA,2877,2877,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,PIROUTA,3868,3868,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,"RAMAPUR SANDIA",1696,1696,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,RATANPUR,600,600,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,ARA,"SUNDARPUR BARJA",2750,2750,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,AKAUNA,1113,1113,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,BABHANGAWA,1078,1078,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"BABURA     EAST",4649,4649,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"BABURA  WEST",412,412,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"BAKHORA PUR",1955,1955,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,BALUA,1797,1797,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,BARHARA,1878,1878,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"BISHUN PUR",2202,2202,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,FARNA,1510,1510,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"GAZIA PUR",1741,1741,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"GUNDI  EAST",910,910,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"GUNDI  WEST",3708,3708,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"KHAWAS PUR",2142,2142,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"MATUK PUR",2504,2504,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,NARGADA,2075,2075,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"NATHMAL PUR",2817,2817,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"NEKHAM TOLA",1591,1591,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,PAKRI,2421,2421,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,SARAIYA,2120,2120,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,"SEMARIA PARARIA",2444,2444,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,SINHA,1705,1705,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BARHARA,SOHRA,2252,2252,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,CHAKAWATH,1282,1282,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,DOGHARA,1306,1306,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,FINGI,1349,1349,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,GHAGHA,1267,1267,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,"GODHAR RUDRA NAGAR",929,929,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,KALYANPUR,1651,1651,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,KAMARIYAWN,1164,1164,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,KATEYA,1088,1088,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,MAJHAWLI,1845,1845,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,OSAI,1740,1740,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,"PIPRA JAGDIS",2055,2055,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,RANISAGAR,2080,2080,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,SHIOPUR,1798,1798,"5/19/2020 12:00:00 AM"
Bihar,BHOJPUR,BEHEA,TIYAR,1395,1395,"5/19/2020 12:00:00 AM"
