StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Andhra Pradesh",CUDDAPAH,ATLUR,ATLOOR,1091,1091,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,CHENDUVOY,0,0,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,KAMALAKUR,529,529,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,KAMASAMUDRAM,382,382,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,KONDURU,337,337,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,KUMBAGIRI,1260,1260,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,MADAPUR,512,512,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,"MANNEM VARI PALLE",433,433,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,MUTUKUR,445,445,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,"REDDY PALLI",343,343,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,THAMBALLAGONDI,468,468,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,VARIKUNTA,107,107,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,ATLUR,VEMALUR,261,261,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,B.KODUR,2255,2255,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,ITRAMPETA,870,870,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,MEKAVARIPALLI,437,437,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,MUNNELI,576,576,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,PAYALAKUNTLA,406,406,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,PEDULLAPALLI,204,204,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,PRBHALAVEEDU,227,227,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,"S. PAPANAPALLI",128,128,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,THANGEDUPALLI,137,137,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,B.KODUR,THUMMALAPALLI,176,176,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,"ANATHA RAJUPURAM",59,59,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,"CHINTHALA CHERUVU",259,259,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,KONASAMUDRAM,447,447,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,KONGALAVEEDU,342,342,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,PUTTAYAPALLI,263,263,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,RAJUPALEM,497,497,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,THIPPANAPALLI,375,375,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,TIRUVENGALAPURAM,598,598,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,VANAMPULA,592,592,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BADVEL,VEERAPALLI,508,508,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,"DIGUVA NELATUR",335,335,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,DIRASAVANCHA,683,683,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,GODLAVEEDU,124,124,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,MALLEPALLI,981,981,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,MUDUMALA,317,317,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,"NAGISETTI PALLI",72,72,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,PALUGURALLAPALLI,848,848,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,REKALAKUNTA,704,704,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,SOMIREDDIPALLI,837,837,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,"T. CHOWDARAVARIPALLI",299,299,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,BRAHMAMGARIMATHAM.,THOTLAPALLI,245,245,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,CHAKRAYAPET,ADDALAMARRI,132,132,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,CHAKRAYAPET,CHAKRAYAPET,1430,1430,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,CHAKRAYAPET,CHILEKAMPALLI,667,667,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,CHAKRAYAPET,GADDAMVARIPALLI,367,367,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",CUDDAPAH,CHAKRAYAPET,GANDIKOVVUR,208,208,"5/19/2020 12:00:00 AM"
