StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",AMBOLI,1921,1921,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",DADRA,1076,1076,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",DAPADA,3174,3174,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",DUDHANI,2301,2301,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",GALONDA,1957,1957,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",KAUNCHA,1491,1491,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",KHANVEL,2479,2479,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",KHARADPADA,2338,2338,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",KHERDI,1841,1841,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",KILVANI,1246,1246,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",MANDONI,1790,1790,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",MASAT,650,650,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",NAROLI,1252,1252,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",RAKHOLI,1236,1236,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",RANDHA,1192,1192,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",RUDANA,1793,1793,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",SAMARVANI,256,256,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",SAYLI,1613,1613,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",SINDONI,2240,2240,"5/19/2020 12:00:00 AM"
"D & N Haveli","DADRA AND NAGAR HAVELI","Dadra Nagar Haveli",SURANGI,1478,1478,"5/19/2020 12:00:00 AM"
