StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,DARBHANGA,ALINAGAR,ADHLOAM,2820,2820,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,ALINAGAR,2039,2039,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,"DHAMURA DHAMSAIN",2487,2487,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,GAROUL,2952,2952,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,"HANUMAN NAGAR",2183,2183,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,HARIYATH,1910,1910,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,"HARSING PUR",3711,3711,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,"MOHIUDINPUR PAKRI",1797,1797,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,"MOTI PUR",1937,1937,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,"NARMA  NAVNAGAR",3163,3163,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,ALINAGAR,"TUMAUL SUHATH LAHTA",1669,1669,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"BAHADURPUR DEKULI",2326,2326,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"BAJID PUR",1733,1733,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,BARUARA,3116,3116,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"BASAT PUR",2082,2082,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"BIUNI ANDAMA",2425,2425,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,DARHAR,2761,2761,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"DILABAR PUR",2712,2712,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"HARI PATTI",3101,3101,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,JALWARA,2966,2966,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,KHAIRA,2431,2431,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"KHARAJ PUR",2741,2741,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,KUSOTHAR,2624,2624,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,MANIYARI,1658,1658,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,MEKNABEDA,1820,1820,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,OJHOUL,3627,3627,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,PIRRI,1756,1756,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,PREMJIWAR,1794,1794,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"RAMBHADRA PUR",2071,2071,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"SIMRA NEHAL PUR",2426,2426,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,TARALAHI,2788,2788,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,TIKAPATTI,1986,1986,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,UGHARA,2165,2165,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHADURPUR,"UGHRA MAHAPARA",2444,2444,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"ATAHAR NORTH",1491,1491,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"ATAHAR SOUTH",2370,2370,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,BAGHOUNI,2016,2016,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"BAHERI EAST",2232,2232,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"BAHERI WEST",2080,2080,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,BALIGAON,1679,1679,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,BHACHHI,2362,2362,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,BITHOULI,1572,1572,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"CHAKWA BHARWARI",2506,2506,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,DHANOULI,2394,2394,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"DOHAT NARAIN",2247,2247,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,ENAI,2388,2388,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"GANGDAH SHEORAM",788,788,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"GUJROULI RAMOULI",1195,1195,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,HARHACHA,2499,2499,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"HATHOURI NORTH",1155,1155,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"HATHOURI SOUTH",1198,1198,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"HAVIDIH NORTH",1590,1590,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"HAWIDIH MIDDLE",1961,1961,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"HAWIDIH SOUTH",1560,1560,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,JORJA,1497,1497,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,MITHUNIA,1149,1149,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,NIMAITHI,2777,2777,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,PAGHARI,1945,1945,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,SAMADHPURA,1870,1870,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,"SUSARI  TURKI",2258,2258,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BAHERI,THATHOPUR,1813,1813,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,"BATHO RADHIYAM",2219,2219,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,"DEVRAM AMETHI",2070,2070,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,"GANESH BANAUL BALNI",2021,2021,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,HARIPUR,2504,2504,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,"HAVI BHOUAR",1944,1944,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,JARISON,2272,2272,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,"MADHOPUR    MAHAMDPUR",1692,1692,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,MAHINAM,2225,2225,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,"MAKRAM PUR",1965,1965,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,NAWADA,1802,1802,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,"POHADI   WEST",2293,2293,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,RAMOULI,1885,1885,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,SAJAUPURA,1765,1765,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,SAJHUAR,2207,2207,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,SHIVRAM,1935,1935,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BENIPUR,TAROUNI,1441,1441,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BIRAUL,AFZALA,2956,2956,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BIRAUL,"AKBARPUR BENK",2508,2508,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BIRAUL,"ARGA USARI",2138,2138,"5/19/2020 12:00:00 AM"
Bihar,DARBHANGA,BIRAUL,BAIRAMPUR,2102,2102,"5/19/2020 12:00:00 AM"
