StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Arunachal Pradesh","DIBANG VALLEY",ANELIH-ARZOO,ANELIH,106,106,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANELIH-ARZOO,ARZOO,62,62,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANELIH-ARZOO,AWALI,83,83,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANELIH-ARZOO,"NEW ANAYA",118,118,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANELIH-ARZOO,"NEW ENDOLIN",84,84,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANELIH-ARZOO,THYEE,26,26,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,"AGRIM VALLEY",70,70,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,AKOBE,29,29,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,ALINYE,65,65,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,ANINI-I,431,431,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,ANINI-II,37,37,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,ETABE,65,65,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,GIPULIN,40,40,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,MATOLI,40,40,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,MIHUNDO,53,53,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ANINI-MIPI-ALINYE,MIPI,76,76,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ETALIN-MALINYE,ANGULIN,31,31,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ETALIN-MALINYE,ATHUNLI/MALINYE,65,65,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ETALIN-MALINYE,"ETALIN BRIDGE POINT",122,122,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ETALIN-MALINYE,"ETALIN MALINYE (HQ)",77,77,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","DIBANG VALLEY",ETALIN-MALINYE,"NEW AROPO",25,25,"5/19/2020 12:00:00 AM"
