StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST","40TH MILE",95,95,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",BEYONG,4,4,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",JOKHIO,37,37,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",JOMOH,59,59,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",KHENEWA,160,160,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",LONDA,113,113,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",LORRAH,123,123,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",MARGINGLA,114,114,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",PAFFA,70,70,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",PAKKE,158,158,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",PANGIA,33,33,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",PORDUNG,39,39,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST","REWA SOLUNG",74,74,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",SANGBIA,69,69,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG EAST",WAII,105,105,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",BAMENG-1,156,156,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",BAMENG-II/TARA,67,67,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",EFFA,59,59,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",EMBORIANG,19,19,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",GIKUNG,69,69,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",LADA,119,119,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",LAPUNG,189,189,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST","LOWER LIYAK/SEKONG",66,66,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",MIORANG,46,46,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",POUBE,97,97,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",ROJO/WAKKE,55,55,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",SACHUNG,51,51,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",SEKONG,84,84,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",TALLO,49,49,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",TAWE,22,22,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST","UPPER LIYAK",117,117,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG","BAMENG WEST",WABLONG,36,36,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,"BANA CAMP",50,50,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,"BANA VILLAGE",105,105,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,CHIJANG,94,94,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,FENGCHE,146,146,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,KAFLA,61,61,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,KEDEYANG,93,93,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,LOFFA,90,90,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,LOGONI,50,50,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,LUNDUNG,53,53,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,NARINGWA,38,38,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,NEKING,87,87,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,NEPING,61,61,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,NERE,131,131,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,NINGCHO,181,181,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,PAKOTI,100,100,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,PANKAR,61,61,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,PIPOKORO,80,80,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,SEBA,133,133,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,SILLA,96,96,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,SOPUNG,84,84,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,"TALLOMSIMA RICHUKHORANG",120,120,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,TATATARA,87,87,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,WATTE,53,53,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,WESHI,82,82,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",BANA,YANGSEY,159,159,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","EAST KAMENG",CHAYANGTAJO,BENGDE,45,45,"5/19/2020 12:00:00 AM"
