StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Uttar Pradesh",FAIZABAD,AMANIGANJ,ADILPUR,477,477,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,AKMA,277,277,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"AMAVA SUPHI",222,222,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,ATESHAR,409,409,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,BAGHAUDA,214,214,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,BAHBARMAU,328,328,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,BAKCHUNA,277,277,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,BARAULI,477,477,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,BAWAN,418,418,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,BHAKHAULI,698,698,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"BHEEKHEE KA PURWA",279,279,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"BIRAULI JHAM",225,225,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,BODEPUR,290,290,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,CHAMRUPUR,397,397,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,CHANDAURA,543,543,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,CHAUDHARYPUR,230,230,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,CHTAURA,137,137,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"DEELI SARIYA",392,392,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,DEVGAON,257,257,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,DEVRA,296,296,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,DHAMTHUA,285,285,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,DHARAULI,366,366,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"DOOLI ASKARAN",358,358,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,DUDEE,199,199,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,EBBRAHIMPUR,213,213,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,ECHOHEE,271,271,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,EMAMGANJ,282,282,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,GADAULI,745,745,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,GADDOPUR,276,276,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,GAHNAG,265,265,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,GAUNHANIYA,454,454,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,GHATAULI,340,340,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,GHODVAL,386,386,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,ITAUNJA,212,212,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"JAGDESH PUR",110,110,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,JAIRAJPUR,75,75,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,JHABRA,122,122,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,JIGNAHI,145,145,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,KANDAIKALA,309,309,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,KATGHARA,105,105,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,KAURAH,335,335,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,KHANDASA,272,272,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,KITHAVA,122,122,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,KOTDEEH,241,241,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,KOTIYA,1028,1028,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,KUNDAKHAKALA,189,189,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,MAHUVA,219,219,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"MAJH GAON",207,207,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,MANJHANPUR,233,233,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,MANUDEEH,292,292,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"MEWAPUR MU RASULPUR LILHA",349,349,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,MISRAULI,246,246,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,MOHALI,489,489,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,MOHAMMADPUR,437,437,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,NANDAULI,257,257,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,ORAVA,424,424,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"PAKAD PUR",409,409,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,PALPUR,664,664,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,PARDKIYA,136,136,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,PITHLA,371,371,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"PURA URF SUMERPUR",316,316,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"PURE LAL KHAN",293,293,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"RAMPUR GAUHANIYA",226,226,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,RANIKPUR,118,118,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,"RASULPUR LIJHA",387,387,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,RAUNTAVAN,233,233,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,RAYPATTEE,649,649,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,SARAULI,224,224,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,TANDAVA,346,346,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,THALDHOLI,191,191,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,TIKTI,266,266,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,TINDAULI,402,402,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,TULAPUR,148,148,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,UMERHAR,274,274,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,AMANIGANJ,VINAYAKPUR,272,272,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,AMAWAN,173,173,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,ASKARANPUR,21,21,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,ASREWA,421,421,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"BABURIHA KAUNDHA",150,150,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"BACHRAM PUR",379,379,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,BASANTPUR,560,560,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"BASDEV PUR",135,135,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,BAYTIKLA,779,779,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"BHAERAVPUR TIKRA",319,319,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"BHARAHU KHATA",193,193,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,BHAWAPUR,184,184,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"BHIKHI SARAI",99,99,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,BODAHRAI,169,169,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"CHAND PUR",108,108,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"CHAURE CHANDOLI",253,253,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,CHAWARDHAR,366,366,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"DASRATH PUR",191,191,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"DAYAL JUTE",138,138,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,DEHRIYAWAN,535,535,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"DEVA PUR",52,52,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,DHANUAWA,208,208,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"DHRETHA DASRATHPUR",297,297,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,GAANDAI,232,232,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"GOVIND PUR",416,416,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,GUNDHAUR,371,371,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"HARINATH PUR",332,332,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"JAIN PUR",215,215,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"JALALPUR MAFI",304,304,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"JAMOLI KHURD",70,70,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,JERUWA,219,219,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"KALYANPUR CHAKDUHIYA",381,381,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"KARAN PUR",215,215,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,KATAREE,391,391,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,KHAJURAHAT,324,324,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,KHEWLI,138,138,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,KHIDDIRPUR,480,480,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,KODAILA,240,240,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,KONCHA,586,586,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"LUFTABAD BACHHAULI",511,511,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"MAJHA SONURA",201,201,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"MAJRUDEEN PUR",570,570,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"MALETHU KANAK",460,460,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,MANAPUR,102,102,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,MANGAREE,360,360,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"MARUE SHAY SINGH",305,305,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,MAU,183,183,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,MAURAWAN,274,274,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"MEETAN PUR",75,75,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,MHAWAN,130,130,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"MUMRICH NAGAR",269,269,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"NEWNA PURAB",324,324,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"PALI PURAB",242,242,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"PATU PUR",532,532,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,PROMA,365,365,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,PUHPI,218,218,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"RAM NAGAR",480,480,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"RAMPUR BHAGAN",577,577,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"RASUL PUR",278,278,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"RATAN PUR TENDUA",153,153,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"RUNDOLI PACHAM PALI",185,185,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"SAHAJ PUR",90,90,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,SAHAWAN,272,272,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"SARAY BHANAULI",636,636,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"SARAY KHARGI",131,131,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"SHER PUR",143,143,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,SHIVTAR,234,234,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"SON KHARI",177,177,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"SON VARSHA MUSALMEEN",186,186,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"SONVARSA MAFI",121,121,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"SULHE PUR",100,100,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"TAJ PUR",73,73,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,TOROMAFI,677,677,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,"UMARNI PIPARI",154,154,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,VANKAT,429,429,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,BIKAPUR,WAHIUDDINPUR,114,114,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,ACCHORA,460,460,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"ADIL PUR",405,405,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"AHARAN SUVANSH",599,599,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"BASWAR KALA",651,651,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"BASWAR KHURD",232,232,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,BHITARI,142,142,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"BHULAI PUR NIDHYAWAN",344,344,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,CHAMAILA,126,126,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"CHANDIPUR NAGARHA",276,276,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,CHIKHARI,284,284,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"DEEH BHARTHI",284,284,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,DEVGIRI,167,167,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"DEVKALI MAFI",373,373,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"DEWAN PARA",228,228,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"DHEMA SHIVBAKSH RAY",198,198,"11/11/2019 12:00:00 AM"
"Uttar Pradesh",FAIZABAD,HARIYANGATANGANJ,"DHEMWA VAISYA",318,318,"11/11/2019 12:00:00 AM"
