StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Assam,KAMRUP-Metro,"BEZERRA (PT)",LACHITGARH,3210,3210
Assam,KAMRUP-Metro,CHANDRAPUR,AMSING,2140,2140
Assam,KAMRUP-Metro,CHANDRAPUR,CHANDRAPUR,2057,2057
Assam,KAMRUP-Metro,CHANDRAPUR,PANIKHAITY,3445,3445
Assam,KAMRUP-Metro,CHANDRAPUR,"PASCHIM MAYANG",2248,2248
Assam,KAMRUP-Metro,DIMORIA(PT.),BARKHAT,1493,1493
Assam,KAMRUP-Metro,DIMORIA(PT.),BARUABARI,1847,1847
Assam,KAMRUP-Metro,DIMORIA(PT.),DHUPGURI,1935,1935
Assam,KAMRUP-Metro,DIMORIA(PT.),DIGARU,1702,1702
Assam,KAMRUP-Metro,DIMORIA(PT.),HAHARA,3267,3267
Assam,KAMRUP-Metro,DIMORIA(PT.),KAMARKUCHI,2328,2328
Assam,KAMRUP-Metro,DIMORIA(PT.),KHETRI,2429,2429
Assam,KAMRUP-Metro,DIMORIA(PT.),MALOIBARI,2461,2461
Assam,KAMRUP-Metro,DIMORIA(PT.),NARTAB,1705,1705
Assam,KAMRUP-Metro,DIMORIA(PT.),SONAPUR,2462,2462
Assam,KAMRUP-Metro,DIMORIA(PT.),TAPATOLI,2007,2007
Assam,KAMRUP-Metro,DIMORIA(PT.),TETELIA,1612,1612
Assam,KAMRUP-Metro,"RANI (PT)",AZARA,2543,2543
Assam,KAMRUP-Metro,"RANI (PT)",DHARAPUR,1676,1676
Assam,KAMRUP-Metro,"RANI (PT)",GARAL,1601,1601
Assam,KAMRUP-Metro,"RANI (PT)",KAHIKUCHI,3301,3301
Assam,KAMRUP-Metro,"RANI (PT)",MAJIRGAON,1746,1746
