StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Gujarat,KHEDA,GALTESHWAR,AMBAV,223,223,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,ANGHADI,1321,1321,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,BAHIDAP,212,212,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,BALADHA,105,105,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,DABHALI,577,577,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,DABHSAR,268,268,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,FATEPURA,133,133,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,GADHIYA,341,341,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,GANGAJINAMUVADA,205,205,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,JARGAL,206,206,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,KATADI,119,119,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,KOSAM,199,199,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,KUNI,592,592,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,"MAHI ITADI",687,687,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,MALVAN,394,394,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,MENPURA,486,486,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,"MITHANA MUVADA",235,235,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,PADAL,624,624,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,PALAIYA,262,262,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,PALI,1196,1196,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,PARABIYA,291,291,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,"RASULPUR PADAL",485,485,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,ROZVA,748,748,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,RUSTAMPURA,291,291,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,SANADRA,445,445,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,SANGOL,302,302,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,SARNAL,214,214,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,SONAIYA,295,295,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,SONIPUR,786,786,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,"TIMBANA MUVADA",434,434,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,VADAD,510,510,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,VANODA,290,290,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,VASO,569,569,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,GALTESHWAR,WANGHROLI,364,364,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,ABOCH,339,339,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,ABVEL,344,344,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,AGRAJINAMUVADA,131,131,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,ALAMPUR,185,185,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,ALAWA,568,568,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,AMBALIYARA,946,946,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,ANTISAR,1519,1519,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,ANTROLI,1516,1516,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,ATARSUMBA,523,523,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,BARIYANAMUVADA,188,188,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,BETAVADA,229,229,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,BHAGVANJINIMUVADI,502,502,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,BHAILAKUI,157,157,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,"BHOJA NA MUVADA",175,175,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,BHUNGALIYA,208,208,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,BHUTIYA,542,542,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,CHIKHLOD,337,337,"5/19/2020 12:00:00 AM"
Gujarat,KHEDA,KAPADVANJ,DAHIYAP,476,476,"5/19/2020 12:00:00 AM"
