StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Assam,LAKHIMPUR,BIHPURIA,"BADATI JAMUGURI",1497,1497,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BIHPURIA,"BAHGORAH DHUNAGURI",3972,3972,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BIHPURIA,BIHPURIA,2074,2074,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BIHPURIA,"PUB DIKRONG",3358,3358,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BOGINODI,BHIMPARA,3252,3252,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BOGINODI,BOGINODI,2477,2477,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BOGINODI,CHAULDHOWA,3910,3910,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BOGINODI,KADAM,1968,1968,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BOGINODI,"NA KADAM",1872,1872,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BOGINODI,SEAJULI,1861,1861,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BOGINODI,THOWTHOWNI,1472,1472,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,BOGINODI,UKHAMATI,1822,1822,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,DANGDHARA,1811,1811,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,"DHENUKHANA BATOMARI",1844,1844,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,DIMARUGURI,1094,1094,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,GANDHIA,1119,1119,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,HARHI,1501,1501,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,KHERKATA,1728,1728,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,"MADHYA DHAKUAKHANA",2009,2009,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,MATMARA,1677,1677,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,"PACHIM DHAKUAKHANA",2151,2151,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,"PUB DHAKUAKHANA",2643,2643,"5/19/2020 12:00:00 AM"
Assam,LAKHIMPUR,DHAKUAKHANA,SINGIA,1903,1903,"5/19/2020 12:00:00 AM"
