StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,BHEKULIANG,117,117,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,CHAILIANG,92,92,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,CHANGLIANG,249,249,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,DANGLAT,418,418,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,DURALIANG,153,153,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,HATIDUBA,76,76,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,JEKO,120,120,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,"JEKO SUNPURA",135,135,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,KHORALIANG,193,193,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,LOILIANG,432,432,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,MEKAILIANG,121,121,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,"NEW DANGLAT",147,147,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,"NEW HATIDUBA",57,57,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,POMLIANG,186,186,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,TAFRAGAM-I,112,112,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,TAFRAGAM-II,83,83,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,TAFRAGAM-III,86,86,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,TELLULIANG,479,479,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,YEALIANG,195,195,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,TEZU-SUNPURA,"YEALIANG-19 MILE",48,48,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,HOOKING,211,211,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,"KAMJA TOWAM",197,197,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,KANJANG,95,95,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,KHARE,156,156,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,MAWAL,75,75,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,MEDO,764,764,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,NAMGO,283,283,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,PHUKHURI,115,115,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,TILLAI,223,223,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,WAIKHETIANG-DABRUMLIANG,84,84,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh",LOHIT,WAKRO,WAKRO,582,582,"5/19/2020 12:00:00 AM"
