StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,ANPUM-A,140,140,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,ANPUM-B,162,162,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,BANGO,156,156,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,BIZARI-A,106,106,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,BIZARI-B,68,68,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,BIZARI-C,137,137,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,BOMJIR,89,89,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,LOKLUNG-KALING,185,185,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,"PAGLAM- B",126,126,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,PAGLAM-A,107,107,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,POBLUNG-A,77,77,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,POBLUNG-B,76,76,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,POBLUNG-C,72,72,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,REMI,123,123,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,SIRANG,72,72,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,TAPAT-KAPANG,53,53,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,"TINALI KEBA",210,210,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",DUMBUK-PAGLAM,YAPGO,44,44,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",HUNLI-DESALI,ALONI,72,72,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",HUNLI-DESALI,BRINLI,87,87,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",HUNLI-DESALI,DESALI,59,59,"5/19/2020 12:00:00 AM"
"Arunachal Pradesh","LOWER DIBANG VALLEY",HUNLI-DESALI,DONLI,23,23,"5/19/2020 12:00:00 AM"
