StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,MADHUBANI,ANDHRATHARHI,"ANDHARA GAUR",1725,1725,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,"ANDHRATHARHI (N)",2211,2211,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,"ANDHRATHARHI (S)",2008,2008,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,DEOHAR,1637,1637,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,DUMARA,2205,2205,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,GANAULI,1695,1695,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,GANGDWAR,1097,1097,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,HARARI,1393,1393,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,HARNA,1421,1421,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,JALSAIN,1311,1311,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,"KARN PUR",763,763,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,MADANA,2312,2312,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,MAHARAIL,991,991,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,MAILAM,1312,1312,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,MARUKIYA,2278,2278,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,NANAUR,2428,2428,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,RAKHBARI,950,950,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,ANDHRATHARHI,SHIVA,1707,1707,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI","BABU BARHI",2329,2329,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",BARDAHI-BARHARA,1915,1915,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",BASAHA,2026,2026,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",BELA,1649,1649,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",BHATCHAURA,1917,1917,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",BHUPATI,1108,1108,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",CHHAURAHI,2617,2617,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",DHAMAURA,1863,1863,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",GHANGHAUR,1471,1471,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",KULHARIA,1434,1434,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI","MAHESH WARA",1949,1949,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",MISRAULIA,2002,2002,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",MURHADI,1849,1849,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",PACHRUKHI,1894,1894,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",PIRHI,1801,1801,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",SARRA-SANPATAHI,2111,2111,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",SATGHARA,1820,1820,"5/19/2020 12:00:00 AM"
Bihar,MADHUBANI,"BABU BARHI",SONMATI,1604,1604,"5/19/2020 12:00:00 AM"
