StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Chhattisgarh,MAHASAMUND,BAGBAHARA,AAMAKONI,573,573,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,ANWARPUR,210,210,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,ARAND,533,533,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,AVARADABARI,562,562,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,B.K.BAHARA,393,393,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BAGBAHRAKALA,483,483,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BAGHMUDA,437,437,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BAKMA,1059,1059,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BARBASPUR,505,505,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BASULADABARI,964,964,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BHADRASI,475,475,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BHALESHAR,428,428,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BHALUCHUWA,336,336,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BHIMKHOJ,691,691,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BIHAJHAR,549,549,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BINDRAWAN,595,595,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BIRAJPALI,309,309,"5/19/2020 12:00:00 AM"
Chhattisgarh,MAHASAMUND,BAGBAHARA,BODARABANDHA,586,586,"5/19/2020 12:00:00 AM"
