StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Gujarat,MAHISAGAR,BALASINOR,ALELA,139,139,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,BALIYADEV,325,325,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,BHANTHALA,594,594,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,BODELI,389,389,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,DAKHARIYA,155,155,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,DEV,609,609,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,DODIA,1,1,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,"DOLAT POYDA",292,292,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,FELSANI,299,299,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,GADHAVADA,470,470,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,"GADHNA MUVADA",140,140,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,"GAJA PAGINA MUVADA",245,245,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,GUNTHLI,281,281,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,"HANDIYA (BALASINOR)",252,252,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,JAMIYATPURA,1,1,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,JANOD,280,280,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,JETHOLI,715,715,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,JORAPURA,82,82,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,KADAIA,328,328,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,KAMBOPA,289,289,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,KARANPUR,264,264,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,KHANDIVAV,162,162,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,KOTARBOR,126,126,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,LIMBDI,1,1,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,MANVARPURA,11,11,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,MEGHALIYA,410,410,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,NAVAGAMA,900,900,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,OTHVAD,866,866,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,PANDVA,699,699,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,PARABIYA,301,301,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,PILODRA,272,272,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,PRUTHVIRAJPURA,1,1,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,RAIYOLI,490,490,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,"RAJPUR (BALASINOR)",336,336,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,"RALIYATA (BALASINOR)",79,79,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,SAKARIYA,614,614,"5/19/2020 12:00:00 AM"
Gujarat,MAHISAGAR,BALASINOR,SALIYAVADI,696,696,"5/19/2020 12:00:00 AM"
