StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Assam,MARIGAON,"BATABRABA (PART)",SILPUKHURI,2497,712
Assam,MARIGAON,BHURBANDHA,AZARBARI,1476,1476
Assam,MARIGAON,BHURBANDHA,BAGHARA,1483,1438
Assam,MARIGAON,BHURBANDHA,BARANGABARI,1707,1707
Assam,MARIGAON,BHURBANDHA,BHURBANDHA,2445,2445
Assam,MARIGAON,BHURBANDHA,DANDUA,2156,2156
Assam,MARIGAON,BHURBANDHA,DIGHALBARI,1742,1655
Assam,MARIGAON,BHURBANDHA,"HABI BARANGABARI",1498,1383
Assam,MARIGAON,BHURBANDHA,KONWARGAON,1709,1669
Assam,MARIGAON,BHURBANDHA,MANIPUR,2395,2177
Assam,MARIGAON,BHURBANDHA,MIKIRBHETA,1703,1616
Assam,MARIGAON,BHURBANDHA,RANGADARIA,2424,1812
Assam,MARIGAON,BHURBANDHA,SOLMARI,1302,1300
Assam,MARIGAON,BHURBANDHA,TARABORI,2528,2379
Assam,MARIGAON,"DOLONGGHAT (PART)",BHAKATGAON,1397,1299
Assam,MARIGAON,"DOLONGGHAT (PART)",BORCHILA,2716,1548
Assam,MARIGAON,"DOLONGGHAT (PART)",CHABUKDHARA,1598,1482
Assam,MARIGAON,"DOLONGGHAT (PART)",PAGHALI,2503,2236
Assam,MARIGAON,KAPILI,BORBHAGIA,1708,1708
Assam,MARIGAON,KAPILI,CHARAIBAHI,1738,1733
Assam,MARIGAON,KAPILI,JALUGUTI,2062,1997
Assam,MARIGAON,KAPILI,KALMOUBARI,2103,2069
Assam,MARIGAON,KAPILI,MIKIRGAON,1769,1767
Assam,MARIGAON,LAHARIGHAT,BALIDUNGA,1807,1177
Assam,MARIGAON,LAHARIGHAT,BARALIMARI,2495,1734
Assam,MARIGAON,LAHARIGHAT,BHURAGAON,1356,1228
Assam,MARIGAON,LAHARIGHAT,BORCHALA,2230,1078
Assam,MARIGAON,LAHARIGHAT,BORDUBATUP,2422,2005
Assam,MARIGAON,LAHARIGHAT,BOWALGURI,1900,873
Assam,MARIGAON,LAHARIGHAT,DHUMKURA,1822,1064
Assam,MARIGAON,LAHARIGHAT,DHUPGURI,1851,1491
Assam,MARIGAON,LAHARIGHAT,HAIBARGAON,1166,572
Assam,MARIGAON,LAHARIGHAT,JARIBOR,1937,1736
Assam,MARIGAON,LAHARIGHAT,KACHARIBORI,2257,1439
Assam,MARIGAON,LAHARIGHAT,KATHANI,1643,1124
Assam,MARIGAON,LAHARIGHAT,KUSHTOLI,1387,816
Assam,MARIGAON,LAHARIGHAT,LAHARIGHAT,1465,744
Assam,MARIGAON,LAHARIGHAT,LAWBHURUNGA,1185,691
Assam,MARIGAON,LAHARIGHAT,NAGABANDHA,2440,2256
Assam,MARIGAON,LAHARIGHAT,NIZ-CHAHARIA,620,450
Assam,MARIGAON,LAHARIGHAT,NIZ-GERUA,3399,2047
Assam,MARIGAON,LAHARIGHAT,OMARAGURI,1994,1839
Assam,MARIGAON,LAHARIGHAT,PAVAKATI,1690,1048
Assam,MARIGAON,LAHARIGHAT,"RAJA GADHOWA",1609,1271
Assam,MARIGAON,LAHARIGHAT,TENGAGURI,2022,1964
Assam,MARIGAON,LAHARIGHAT,"TINSUKIA MAHMARA",1819,1739
Assam,MARIGAON,LAHARIGHAT,TULSIBARI,1761,1185
Assam,MARIGAON,MAYANG,AHATGURI,1383,1383
Assam,MARIGAON,MAYANG,BAGHJAP,1471,989
Assam,MARIGAON,MAYANG,"BOHA BORJARI",1520,993
