StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Gujarat,MEHSANA,BECHRAJI,ADIVADA,442,442,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,AJABPURA,69,69,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,AKBA,319,319,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,AMBALA,543,543,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,ASJOL,514,514,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,BARIYAF,178,178,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,"BECHAR ALIAS BECHARAJI",1837,1837,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,BHALGAMDA,311,311,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,CHADASANA,307,307,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,CHANDANKI,109,109,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,CHANDRODA,361,361,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,CHHATASANA-VANPUR,147,147,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,DEDANA,509,509,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,"DELPURA KHANT",438,438,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,"DELVADA KHANT",398,398,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,DETHLI,375,375,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,DEVGADH,154,154,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,DHANPURA,177,177,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,DHARPURA-KHANT,646,646,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,DODIVADA,378,378,"5/19/2020 12:00:00 AM"
Gujarat,MEHSANA,BECHRAJI,ENDLA,168,168,"5/19/2020 12:00:00 AM"
