StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Gujarat,MORBI,HALVAD,AJITGADH,215,215,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,BHALGAMDA,199,199,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,BUTVADA,147,147,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,CHADADHRA,109,109,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,CHANDRAGADH,181,181,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,CHARADVA,1177,1177,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,CHITRODI,255,255,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,CHUMPANI,304,304,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,DEVIPUR,206,206,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,DHANALA,467,467,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,DHAVANA,565,565,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,DHULKOT,133,133,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,DIGHADIYA,375,375,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,DUNGARPUR,365,365,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,GHANAD,210,210,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,GHANSHYAMNAGAR,64,64,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,GHANSHYAMPUR,426,426,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,GOLASAN,328,328,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,INGORALA,120,120,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,ISANPUR,372,372,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,JOGAD,280,280,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,"JUNA AMRAPAR",201,201,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,"JUNA DEVALIYA",610,610,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,KADIYANA,414,414,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,KAVADIYA,337,337,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,KEDARIYA,226,226,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,KHETARDI,155,155,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,KHOD,127,127,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,KIDI,461,461,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,KOYBA,221,221,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MALANIYAD,530,530,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MANEKWADA,130,130,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MANGADH,144,144,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MANGALPUR,161,161,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MANSAR,83,83,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MATHAK,358,358,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MAYAPUR,8,8,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MAYURNAGAR,329,329,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MERUPAR,158,158,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,MIYANI,197,197,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,"NAVA AMRAPAR",217,217,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,"NAVA DEVALIYA",154,154,"5/19/2020 12:00:00 AM"
Gujarat,MORBI,HALVAD,"NAVA ESANPUR",54,54,"5/19/2020 12:00:00 AM"
