StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Chhattisgarh,MUNGELI,LORMI,ACHANAKMAR,469,469,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,ACHHIDONGARI,193,193,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,AKHARAR,916,916,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,AMALDIHI,175,175,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,AURABANDHA,573,573,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"BAGHANI BHANWAR",437,437,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BAGHMAR,233,233,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BAIGAKAPA,300,300,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BAIJALPUR,129,129,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BANDHA,247,247,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BANDHAWA,165,165,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BARAMPUR,611,611,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BHALUKHODRA,308,308,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BHASKARA,344,344,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BHATHA,310,310,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BICHARPUR,523,523,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"BIJRA KACHHAR",357,357,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"BIJRAKAPA KALA",431,431,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"BIJRAKAPA KHURD",465,465,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"BODTARA KALA",584,584,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BOIRAHA,319,319,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BOIRPARA,446,446,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,BUDHWARA,465,465,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,CHACHANDIH,471,471,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,CHAKLA,310,310,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,CHANDLI,357,357,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,CHHAPARWA,434,434,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,CHILFI,417,417,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DARWAJA,446,446,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DAUKAPA,214,214,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DEVARHAT,722,722,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DHANIYADOLI,275,275,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DHARAMPURA,659,659,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DHOBGHATTI,643,643,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DHOLGI,448,448,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DHOURABHATA,421,421,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DINDOL,567,567,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DINDORI,685,685,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"DINDOURI (CH)",359,359,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DONGARIGARH,384,384,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,DONGRIYA,417,417,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,FULJHAR,547,547,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"FULWARI  (F)",435,435,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,FULWARIKALA,348,348,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,GADATOLA,417,417,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,GAINJEE,296,296,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,GATAPAR,385,385,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,GHANAGHAT,593,593,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,GHATOLI,364,364,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,GODKHAMHI,629,629,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,GORAKHPUR,403,403,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,GURVAIDABRI,310,310,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,HARDI,316,316,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"HARDI BANDH",386,386,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,HARNACHAKA,155,155,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,JHAJHPURIKALA,770,770,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,JHALRI,475,475,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,JHAPHAL,963,963,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,JHIRIYA,371,371,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,JOTPUR,280,280,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,KALMIDIH,92,92,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,KARANKAPA,336,336,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,KARIDONGARI,339,339,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,KATAMI,312,312,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,KATHOTIYA,506,506,"5/19/2020 12:00:00 AM"
Chhattisgarh,MUNGELI,LORMI,"KHAIRWAR KHURD",469,469,"5/19/2020 12:00:00 AM"
