StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Assam,NAGAON,BAJIAGAON,AMLAKHI,1138,1138,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,BAJIAGAON,2429,2429,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,KANUWAMARI,2284,2284,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,KHATOWAL,1668,1668,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,KUHUMTOLI,489,489,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,MOWAMARI,1162,1162,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,"NIZ BHELEUGURI",1346,1346,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,"NIZ BHORAGURI",1420,1420,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,RANGAGARA,1233,1233,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,SAMAGURI,1042,1042,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,SUTARGAON,847,847,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BAJIAGAON,UDMARI,1705,1705,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BARHAMPUR,BALIJURI,1364,1364,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BARHAMPUR,BAMUNIGAON,1180,1180,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BARHAMPUR,BARBARI,643,643,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BARHAMPUR,BARHAMPUR,682,682,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BARHAMPUR,CHAPANALA,1567,1567,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BARHAMPUR,HALOWAGAON,1209,1209,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BARHAMPUR,KATONIGAON,865,865,"5/19/2020 12:00:00 AM"
Assam,NAGAON,BARHAMPUR,"NIZ CHALCHALI",1769,1769,"5/19/2020 12:00:00 AM"
