StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,NALANDA,ASTHAWAN,AMANWAN,813,813,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,ANDI,1073,1073,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,ASTHAWAN,2437,2437,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,DUMRANWAN,2623,2623,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,GILANI,771,771,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,JANA,907,907,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,JIAR,1365,1365,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,KAILA,1502,1502,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,KATHARI,722,722,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,KONAND,1853,1853,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,MAHAMMADPUR,878,878,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,MALTI,1455,1455,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,"MURGIA CHAK",1913,1913,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,NERUT,1945,1945,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,NOANWAN,590,590,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,OIYAV,539,539,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,ONDA,1179,1179,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,SARE,875,875,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,ASTHAWAN,UGANWAN,2266,2266,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,AANT,1210,1210,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,AKAUNA,705,705,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,ARAWAN,891,891,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,BARA,1619,1619,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,BEN,1023,1023,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,EKSARA,1363,1363,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,KHAIRA,1457,1457,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,MAIJARA,1651,1651,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BEN,NOHSA,704,704,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,BIYAWANI,1965,1965,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,"CHHABILA PUR",829,829,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,DUMRAWAN,1049,1049,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,HARGAWAN,1402,1402,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,KORAI,1719,1719,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,MAGHRA,1454,1454,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,"MEGHI NGAWAN",1031,1031,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,MHAMMADPUR,1112,1112,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,MURAURA,911,911,"5/19/2020 12:00:00 AM"
Bihar,NALANDA,BIHARSHARIF,PACHAURI,1041,1041,"5/19/2020 12:00:00 AM"
