StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Assam,NALBARI,BARBHAG,"47 (1) NO. UPPER BARBHAG",1708,1708,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARBHAG,"48 (2) NO. UPPER BARBHAG",1154,1154,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARBHAG,"49 (3) NO. UPPER BARBHAG",2224,2224,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARBHAG,"50 (4) NO. UPPER BARBHAG",2499,2499,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARBHAG,"51 (5) NO. UPPER BARBHAG",1964,1964,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARBHAG,"52 (6) NO. UPPER BARBHAG",1505,1505,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARBHAG,"53 NO. SANEKUCHI",1293,1293,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"11 NO DEHARKUCHI",2402,2402,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"12 NO DATARA",2181,2181,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"13 NO GHAGRAPAR",2857,2857,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"14 NO PUB BANBHAG",2926,2926,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"15 NO DIHZARI",2150,2150,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"16 NO KHATIKUCHI",2377,2377,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"17 NO ALLIYA",2650,2650,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"18 NO. BALITARA",2109,2109,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARIGOG-BANBHAG,"19 NO. CHATAIBARI",2870,2870,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"54 NO. KEKANKUCHI KAPLABARI",3617,3617,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"55 NO. BORNIBARI NAPTIPARA",3084,3084,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"56 NO. MUGDI RAMPUR",3401,3401,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"57 NO. DAULASAL LARKUCHI",3693,3693,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"58 NO. JAYSAGAR BARTALA",2688,2688,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"59 NO. MUKALMUA NARAYANPUR",3491,3491,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"60 NO. KANDHBARI DAGAPARA",2612,2612,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"61 NO. GHOGA",2981,2981,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"62 NO. LOHARKATHA ADABARI",3516,3516,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"63 NO. KALARCHAR",3713,3713,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"64 NO. BHANGNAMARI",7583,7583,"5/19/2020 12:00:00 AM"
Assam,NALBARI,BARKHETRI,"65 NO. KURIHAMARI BARSULIA",3328,3328,"5/19/2020 12:00:00 AM"
Assam,NALBARI,MADHUPUR,"35 NO PASCHIM DHARMAPUR",1510,1510,"5/19/2020 12:00:00 AM"
Assam,NALBARI,MADHUPUR,"36 NO PUB DHARMAPUR",1723,1723,"5/19/2020 12:00:00 AM"
Assam,NALBARI,MADHUPUR,"37 NO UTTAR PUB DHARMAPUR",1840,1840,"5/19/2020 12:00:00 AM"
Assam,NALBARI,MADHUPUR,"38 NO PASCHIM NATUN DEHAR",1742,1742,"5/19/2020 12:00:00 AM"
Assam,NALBARI,MADHUPUR,"39 NO PUB NATUN DEHAR",1728,1728,"5/19/2020 12:00:00 AM"
Assam,NALBARI,MADHUPUR,"40 NO DAKHIN NATUN DEHAR",2156,2156,"5/19/2020 12:00:00 AM"
Assam,NALBARI,"PACHIM NALBARI","20 NO PUB KHETRI DHARMAPUR",1144,1144,"5/19/2020 12:00:00 AM"
Assam,NALBARI,"PACHIM NALBARI","21 NO UTTAR KHETRI DHARMAPUR",1978,1978,"5/19/2020 12:00:00 AM"
