StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Gujarat,NARMADA,DEDIYAPADA,ALMAVADI,480,480,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,AMBAVADI,514,514,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,BABADA,595,595,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,BARSAN,194,194,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,BESNA,258,258,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,BHATPUR,336,336,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,BOGAJ,283,283,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,CHIKDA,1059,1059,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,CHULI,679,679,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,DABHAVAN,762,762,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,DEDIAPADA,307,307,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,DUMKHAL,877,877,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,FULSAR,289,289,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,GANGAPUR,120,120,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,GHANTOLI,829,829,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,GOPALIYA,194,194,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,JHANK,208,208,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,"JUNA MOSDA",272,272,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,KABRIPATHAR,247,247,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,KAKARPADA,233,233,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,KEVDI,394,394,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,KHAIDIPADA,508,508,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,"KHOKHRA UMAR (ZARNAWADIWALU)",157,157,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,KUKADDA,267,267,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,KUNDIAMBA,621,621,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,MANDALA,530,530,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,MOSKUT,208,208,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,"MOTA SUKA AMBA",413,413,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,"NANI BEDWAN",468,468,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,"NAVAGAM (DEDIAPADA)",443,443,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,NIGHAT,391,391,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,NIVALDA,219,219,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,PANUDA,392,392,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,PATDI,255,255,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,PATVALI,841,841,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,ROHDA,288,288,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,SABUTI,550,550,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,"SAMARPADA (THAVA)",1442,1442,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,SAMOT,1488,1488,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,SEJPUR,312,312,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,SOLIYA,195,195,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,SUKWAL,1822,1822,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,TAPDA,739,739,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,UMRAN,391,391,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,VADHVA,216,216,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,DEDIYAPADA,ZARNAWADI,798,798,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,AKTESHWAR,519,519,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,AMADLA,542,542,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,BHILVASHI,678,678,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,DHAMADRA,525,525,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,FULVADI,817,817,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,GADKOI,360,360,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,GADOD,550,550,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,GARUDESHWAR,163,163,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,GORA,434,434,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,INDRAVARNA,596,596,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,"JETPOR (VAGHRALI)",392,392,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,"KALI MAKVANA",385,385,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,KARELI,366,366,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,KHADAGADA,535,535,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,KOTHI,602,602,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,LIMDI,441,441,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,MITHIVAV,1081,1081,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,MOKHDI,831,831,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,"MOTA AMBA",344,344,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,"MOTI RAVAL",575,575,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,NAGHATPOR,1685,1685,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,ORPA,412,412,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,"PAN TALAVADI",479,479,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,PANCHLA,1385,1385,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,PINCHHIPARA,761,761,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,SAMARIA,285,285,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,SONGAM,595,595,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,SUKA,415,415,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,TIMRAVA,171,171,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,UNDVA,635,635,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,VAGADIA,228,228,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,VAGHRALI,378,378,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,VANSLA,327,327,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,VAVIALA,419,419,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,VELCHHANDI,806,806,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,ZARIA,351,351,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,GARUDESHWAR,ZARVANI,751,751,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,NANDOD,AKUWADA,811,811,"5/19/2020 12:00:00 AM"
Gujarat,NARMADA,NANDOD,AMLETHA,1339,1339,"5/19/2020 12:00:00 AM"
