StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Gujarat,NAVSARI,CHIKHALI,AGASI,441,441,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,ALIPOR,826,826,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,AMADHARA,217,217,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,AMBACH,320,320,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,BALWADA,709,709,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,BAMANVEL,349,349,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,BAMANWADA,291,291,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,BAROLIA,322,322,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,BODVANK,441,441,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,CHARI,871,871,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,CHASA,590,590,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,CHIKHLI,107,107,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,CHITALI,73,73,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,DEGAM,428,428,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,DHOLUMBER,415,415,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,DONJA,559,559,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,FADVEL,639,639,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,GHEJ,1624,1624,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,GHEKTI,383,383,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,GHODVANI,453,453,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,GHOLAR,513,513,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,GODTHAL,743,743,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,HARANGAM,873,873,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,HOND,781,781,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,JOGWAD,640,640,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KAKADVEL,532,532,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KALIYARI,472,472,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KANBHAI,1007,1007,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KANGVAI,412,412,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KHAMBHDA,425,425,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KHAROLI,647,647,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KHUDVEL,698,698,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KHUNDH,1286,1286,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,KUKERI,1303,1303,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,MAJIGAM,252,252,"5/19/2020 12:00:00 AM"
Gujarat,NAVSARI,CHIKHALI,MALIADHARA,568,568,"5/19/2020 12:00:00 AM"
