StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,NAWADA,AKBARPUR,BAKSANDA,1509,1509,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,"BALIYA BUZURG",1247,1247,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,BARAIL,1099,1099,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,BAREW,1345,1345,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,"BHANAIL LODIPUR",1094,1094,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,BUDHUWA,952,952,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,FATEHPUR,1603,1603,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,"GOBIND BIGHA",1425,1425,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,KULANA,1330,1330,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,LEDAHA,1133,1133,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,"MALIKPUR  NEMDARGANJ",1925,1925,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,MANKHAR,1268,1268,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,PACHGANWA,1478,1478,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,PACHRUKHI,957,957,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,PAIJUNA,1314,1314,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,PANTI,1381,1381,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,"PARATO KARHARI",1749,1749,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,PHARAHA,1108,1108,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,SAKARPURA,751,751,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,AKBARPUR,TEYAR,1390,1390,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,BAKSOTI,1158,1158,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,"BANIYA BIGHA",1206,1206,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,"BHAWAN PUR",1150,1150,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,"BISHUN PUR",1139,1139,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,BUDHWARA,1306,1306,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,GOBINDPUR,1115,1115,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,MADHOPUR,1123,1123,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,SARKANDA,1180,1180,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,GOBINDPUR,SUGHARI,1242,1242,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,BAGODAR,1697,1697,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,CHHATIHAR,1735,1735,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,CHITARGHATTI,1330,1330,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,DHANWA,2033,2033,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,DONA,1631,1631,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,HADSA,1498,1498,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,KAITHIR,1336,1336,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,PACHARHA,1711,1711,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,SONSA,1245,1245,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,HISUA,TUNGI,2194,2194,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KASHICHAK,BELAR,1528,1528,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KASHICHAK,BIRNANWAN,1184,1184,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KASHICHAK,"CHANDI NAWAN",986,986,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KASHICHAK,KHAKHARI,2049,2049,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KASHICHAK,"KHERA JAGDISHPUR",1643,1643,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KASHICHAK,PARWATI,1287,1287,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KASHICHAK,SUBHANPUR,628,628,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,CHHABAIL,903,903,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,DARAWAN,1181,1181,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,DEWANGARH,1988,1988,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,KAUAKOLE,1996,1996,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,KEWALI,768,768,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,KHARSARI,1415,1415,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,LALPUR,883,883,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,MAHURAR,1253,1253,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,MANJHILA,1289,1289,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,NAWADIH,1085,1085,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,PAHARPUR,1823,1823,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,PALI,734,734,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,"PANDEY GANGAUT",1104,1104,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,SARAUNI,652,652,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,KAWAKOLE,SEKHODEWRA,1651,1651,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,"ANKRI  PANDEYBIGHA",1657,1657,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,BARAT,1381,1381,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,BAROSAR,1298,1298,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,"BIJU BIGHA",1349,1349,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,BISIAIT,1624,1624,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,MESKAUR,1166,1166,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,MIRZAPUR,1982,1982,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,RASALPURA,1568,1568,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,"SATIWAZPUR SARAI",1402,1402,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,MESCAUR,TETARIA,1332,1332,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,DOHRA,1839,1839,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,HANRIYA,1123,1123,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,ICHUAKARNA,1455,1455,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,KAHUARA,891,891,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,KOSLA,1014,1014,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,MASAURHA,1073,1073,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,NARDIGANJ,1259,1259,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,NENAURA,1444,1444,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,ORDO,1155,1155,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,PARMAN,1430,1430,"5/19/2020 12:00:00 AM"
Bihar,NAWADA,NARDIGANJ,PES,2285,2285,"5/19/2020 12:00:00 AM"
