StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Assam,"NORTH CACHAR HILLS","NEW   SANGBAR","KHARTHONG MAC AREA",1013,357
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","WAJAO MAC AREA",1063,798
Assam,"NORTH CACHAR HILLS",HARANGAJAO,"DIHAMLAI MAC AREA (PART)",719,714
Assam,"NORTH CACHAR HILLS",HARANGAJAO,"DOLONG MAC AREA (PART)",350,318
Assam,"NORTH CACHAR HILLS",HARANGAJAO,"HADINGMA MAC AREA (PART)",151,88
Assam,"NORTH CACHAR HILLS",HARANGAJAO,"HAFLONG MAC AREA",214,213
Assam,"NORTH CACHAR HILLS",HARANGAJAO,"HARANGAJAO MAC AREA (PART)",1886,810
Assam,"NORTH CACHAR HILLS",HARANGAJAO,"JATINGA MAC AREA (PART)",738,396
Assam,"NORTH CACHAR HILLS",HARANGAJAO,"LOWER KHARTHONG MAC AREA",783,200
Assam,"NORTH CACHAR HILLS","JATINGA VALLEY","MAHUR MAC AREA",857,669
Assam,"NORTH CACHAR HILLS","JATINGA VALLEY","LAISONG MAC AREA",1038,1024
Assam,"NORTH CACHAR HILLS","JATINGA VALLEY","JINAM VALLEY MAC AREA",782,340
Assam,"NORTH CACHAR HILLS","JATINGA VALLEY","JATINGA MAC AREA (PART)",146,84
Assam,"NORTH CACHAR HILLS","JATINGA VALLEY","HANGRUM MAC AREA",458,389
Assam,"NORTH CACHAR HILLS","JATINGA VALLEY","HADINGMA MAC AREA (PART)",450,228
Assam,"NORTH CACHAR HILLS","JATINGA VALLEY","DAOTUHAJA MAC AREA (PART)",485,344
Assam,"NORTH CACHAR HILLS","JATINGA VALLEY","BORAIL MAC AREA",1013,652
Assam,"NORTH CACHAR HILLS","NEW   SANGBAR","DEHANGI MAC AREA (PART)",729,369
Assam,"NORTH CACHAR HILLS","NEW   SANGBAR","DIHAMLAI MAC AREA (PART)",134,134
Assam,"NORTH CACHAR HILLS","NEW   SANGBAR","DOLONG MAC AREA (PART)",100,68
Assam,"NORTH CACHAR HILLS","NEW   SANGBAR","GARAMPANI MAC AREA (PART)",2271,778
Assam,"NORTH CACHAR HILLS",DIYUNGBRA,"DEHANGI MAC AREA (PART)",101,48
Assam,"NORTH CACHAR HILLS",DIYUNGBRA,"DIYUNGMUKH MAC AREA",1723,739
Assam,"NORTH CACHAR HILLS",DIYUNGBRA,"GARAMPANI MAC AREA (PART)",571,216
Assam,"NORTH CACHAR HILLS",DIYUNGBRA,"HAMRI MAC AREA",496,176
Assam,"NORTH CACHAR HILLS",DIYUNGBRA,"HATIKHALI MAC AREA (PART)",93,0
Assam,"NORTH CACHAR HILLS",DIYUNGBRA,"KALACHAND MAC AREA (PART)",0,0
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","DAOTUHAJA MAC AREA (PART)",427,285
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","DEHANGI MAC AREA (PART)",166,18
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","DIGER MAC AREA (PART)",520,141
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","GUNJUNG MAC AREA",814,649
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","HADINGMA MAC AREA (PART)",16,16
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","HAJADISA MAC AREA",808,598
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","HATIKHALI MAC AREA (PART)",909,434
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","KALACHAND MAC AREA (PART)",1117,847
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","LANGTING MAC AREA",1805,724
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","MAIBANG EAST MAC AREA",824,625
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","MAIBANG WEST MAC AREA",1107,929
Assam,"NORTH CACHAR HILLS","DIYANG VALLEY","SEMKHOR MAC AREA",384,232
