StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Goa,"NORTH GOA",BARDEZ,ALDONA,376,376,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,ANJUNA,557,557,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,ARPORA-NAGOA,469,469,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,ASSAGAO,158,158,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,ASSANORA,296,296,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,BASTORA,106,106,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,CALANGUTE,613,613,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,CAMURLI,905,905,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,CANDOLIM,857,857,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,COLVALE,580,580,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,GUIRIM,925,925,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,MOIRA,219,219,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,NACHINOLA,464,464,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,NADORA,241,241,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,NERUL,794,794,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,OXEL,677,677,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,PARRA,993,993,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,PENHA-DE-FRANCE,702,702,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,PILERNE,382,382,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,PIRNA,266,266,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,"POMBURPA, OLAULIM",634,634,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,REVORA,348,348,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,SALIGAO,779,779,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,SALVADOR-DO-MUNDO,408,408,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,SANGOLDA,724,724,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,"SIOLIM - MARNA",942,942,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,SIOLIM-SODIEM,59,59,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,SIRSAIM,210,210,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,SOCORRO,683,683,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,THIVIM,867,867,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,"UCASSAIM, PALEM",116,116,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,"VEREM, BETIM, REIS MAGOS",1306,1306,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BARDEZ,"VERLA CANCA",922,922,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,ADVALPAL,491,491,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,AMONA,473,473,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,CUDNEM,451,451,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,HARVALEM,40,40,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,KARAPUR-SARVAN,910,910,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,LATAMBARCEM,1196,1196,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,MAULINGUEM,1001,1001,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,MAYEM,1519,1519,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,MENCUREM,397,397,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,MULGAO,625,625,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,NAROA,233,233,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,"NAVELIM BICHOLIM",456,456,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,"PALE, COTOMBI",622,622,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,PILIGAO,360,360,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,SALEM,400,400,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,SIRIGAO,213,213,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,SURLA,665,665,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",BICHOLIM,VELGUEM,203,203,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,"AGARWADA  CHOPDEM",470,470,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,ALORNA,758,758,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,ARAMBOL,1059,1059,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,"CASNEM, AMBEREM,POROSCODEM",440,440,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,CHANDEL,307,307,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,CORGAO,1229,1229,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,DHARGAL,1015,1015,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,IBRAMPUR,279,279,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,KASARVANEM,232,232,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,"KERI TERECOL",650,650,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,MANDREM,1620,1620,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,MORJIM,915,915,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,OZARIM,262,262,"5/19/2020 12:00:00 AM"
Goa,"NORTH GOA",PERNEM,PALIEM,452,452,"5/19/2020 12:00:00 AM"
