StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Chhattisgarh,RAIGARH,BARAMKELA,AMERI,355,355,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,AMODA,266,266,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,AMURRA,438,438,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BADEAMAKONI,563,563,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BADENAWAPARA,582,582,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BAIGINDIH,295,295,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BAR,1409,1409,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BARADAWAN,303,303,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BARGANO,305,305,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BARPALI,277,277,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BEHALIDIH,369,369,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BENGACHI,386,386,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BHATHLI,387,387,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BHIKHAMPURA,370,370,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,"BILAIGARH A",320,320,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,"BILAIGARH B",243,243,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BIRNIPALI,299,299,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BOIRADIH,435,435,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BONDA,503,503,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BORE,366,366,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BORIDA,396,396,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BUDBUDA,212,212,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,BUDELI,245,245,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,CHANTIPALI,342,342,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,CHEWARIPALI,309,309,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,DABHARA,608,608,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,DEOGAON,800,800,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,DHANIGAON,303,303,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,DHOURADARHA,225,225,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,DHUMABHATHA,352,352,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,DONGARIPALI,354,354,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,DULOPALI,246,246,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,DUMARPALI,430,430,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,GHOGHARA,315,315,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,GIRHULPALI,876,876,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,GOBARSINGHA,760,760,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,GOURDIH,392,392,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,HATTAPALI,399,399,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,HIRRI,365,365,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,JALGARH,259,259,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,JAMPALI,373,373,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,JHAL,428,428,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,JHANAKPUR,398,398,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,JHINKIPALI,497,497,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,JIRAPALI,414,414,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,JOGANIPALI,255,255,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KAMRID,281,281,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KANCHANPUR,660,660,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,"KANCHANPUR B",257,257,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KANDOLA,353,353,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KANDURPALI,301,301,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KANTHIPALI,455,455,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KAPARTUNGA,267,267,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KARANPALI,297,297,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KARPI,355,355,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KARRAKOT,459,459,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,"KATANGPALI A",462,462,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,"KATANGPALI B",259,259,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KHAIRGARHI,395,395,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KHAMHRIYA,361,361,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KHICHARI,251,251,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KHORIGAON,359,359,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KOKBAHAL,349,349,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KOTARA,442,442,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,KUMHARI,436,436,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,LENDHARA,677,677,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,LINJEER,328,328,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,LIPTI,302,302,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,LODHIYA,516,516,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,LUKAPARA,413,413,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,MAHARAJPUR,210,210,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,MANIKPUR,364,364,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,MARODARHA,477,477,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,NADIGAON,385,385,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,NOUGHATA,402,402,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,PADKIDEEPA,494,494,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,PANCHADHAR,683,683,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,PARDHIAYAPALI,307,307,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,PIHARA,379,379,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,PIKARIMAL,304,304,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,PORATH,463,463,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,RANIDIH,294,294,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,RISORA,782,782,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,SAKARTUNGA,384,384,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,SALHEONA,619,619,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,SANDA,379,379,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,SANKARA,985,985,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,SARAIPALI,311,311,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,SEMIKOT,410,410,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,SUKHAPALI,481,481,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,SURSI,312,312,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,TAREKALA,412,412,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,BARAMKELA,TAUNSIR,613,613,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,ALOLA,504,504,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,AMAPALI,446,446,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,AMLITIKRA,565,565,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BAIRAGI,358,358,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BAKALO,331,331,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BAKARUMA,354,354,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BALAKPODI,497,497,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BANDHANPUR,487,487,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BANGARSUTA,423,423,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BANHAR,439,439,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BANSAJHAR,496,496,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BARBASPUR,204,204,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BARTAPALI,396,396,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,"BAYASI COLONY",580,580,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BAYSI,567,567,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BEHRAMAR,434,434,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BEHRAMUDA,279,279,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BHOJPUR,226,226,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BOJIYA,584,584,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BOKRAMUDA,482,482,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,BORO,524,524,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,CHALHA,348,348,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,CHANDRASHEKHARPUR,546,546,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,CHARKHAPARA,697,697,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,CHHAL,877,877,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,CHIRODIH,314,314,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,CHUHKIMAR,170,170,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,DARRIDIH,304,304,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,DEURMAR,417,417,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,DHASKAMUDA,384,384,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,DHOURABHANTHA,260,260,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,DODAGAON,324,324,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,DURGAPUR,709,709,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,EDUKALA,273,273,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,GANPATPUR,352,352,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,GERSHA,443,443,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,GIDHKALO,258,258,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,GOLABUDA,53,53,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,"GORHI KHURD",244,244,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,HATI,838,838,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,JABGA,387,387,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,JAMABIRA,256,256,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,JAMARGIDI,557,557,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,JAMRAGA,275,275,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,JOGADA,328,328,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KADAMDHODHI,313,313,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KAMOSINDAND,306,306,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KAMRAI,460,460,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KANCHEERA,134,134,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KAPIYABHOUNA,265,265,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KAPU,639,639,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,"KATAIPALI C",420,420,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,"KATAIPALI D",466,466,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KHADGAON,459,459,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KHAMHAR,513,513,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KHARRA,115,115,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KHEDAPALI,375,375,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KIDA,474,474,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KIRIYA,370,370,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KOYLAR,350,350,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KRINDHA,404,404,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KRONDHA,284,284,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KUDEKELA,733,733,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KUMA,325,325,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KUMARTA,298,298,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,KUMHICHUWA,258,258,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,LAT,200,200,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,LAXMIPUR,290,290,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,LIPTI,437,437,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,MAHARAJGANJ,400,400,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,MIRIGUDA,507,507,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,MUNUND,563,563,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,NAGDARHA,352,352,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,NAKNA,396,396,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,NARKALO,331,331,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,NAWAGAON,339,339,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIGARH,DHARAMJAIGARH,NAWAPARA,661,661,"5/19/2020 12:00:00 AM"
