StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Chhattisgarh,RAIPUR,ABHANPUR,ALEKHUNTA,216,216,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,AMADI,179,179,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,AMNER,281,281,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BAKTARA,597,597,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BELAR,238,238,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BENDRI,459,459,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BHARENGA,268,268,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BHATGAON,790,790,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BHATHAPARA(BE),442,442,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BHELWADIH,343,343,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BHOTHIDIH,404,404,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BHURKA,310,310,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,BIRODA,346,346,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,CHAMPARAN,700,700,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,CHANDI,516,516,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,CHERIYA,256,256,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,CHHACHHANPAIRI,384,384,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,CHHANTA,170,170,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,DADARJHORI,198,198,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,DHONDARA,418,418,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,DHUSERA,476,476,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,DOMA,306,306,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,DONGITARAI,331,331,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,DULNA,346,346,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,GATAPAR,296,296,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,GHONT,211,211,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,GIROLA,540,540,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,GOTIYARDIH,356,356,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,HASADA,594,594,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,JAMGAON,438,438,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,JAUNDA,435,435,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,JAUNDI,217,217,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,JAVAIBANDHA,219,219,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,JHANKI,246,246,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,JULUM,292,292,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,KANHERA,275,275,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,KATHIYA,374,374,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,KENDRI,720,720,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,KHANDUWA,356,356,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,KHATTI,610,610,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,KHILORA,384,384,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,KHOLA,305,305,"5/19/2020 12:00:00 AM"
Chhattisgarh,RAIPUR,ABHANPUR,KHORPA,784,784,"5/19/2020 12:00:00 AM"
