StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,SAHARSA,"BANMA  ITAHARI",GHORDOUR,2780,2780,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"BANMA  ITAHARI",ITAHARI,2564,2564,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"BANMA  ITAHARI",JAMALNAGAR,2114,2114,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"BANMA  ITAHARI",MAHARAS,2199,2199,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"BANMA  ITAHARI",RASHALPUR,1687,1687,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"BANMA  ITAHARI",SAHURIYA,2377,2377,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"BANMA  ITAHARI",SARBELA,2589,2589,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,AMARPUR,2286,2286,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,"BALHA PATTI",1134,1134,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,"BANGAON  EAST",2511,2511,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,"BANGAON NORTH",2163,2163,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,"BANGAON SOUTH",1871,1871,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,BARIYAHI,2499,2499,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,CHAINPUR,1415,1415,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,DIWARI,1713,1713,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,MOHANPUR,3337,3337,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,"MURLI BASANTPUR",2923,2923,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,NARIYAR,2226,2226,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,PARARI,809,809,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,PATUAHA,1411,1411,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,"SIRADE PATTI",3166,3166,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,KAHARA,SULINDABAD,1904,1904,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,"AARA PATTI",2309,2309,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,AINA,1653,1653,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,BAGHWA,2163,2163,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,BHELAHI,2284,2284,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,GHONGHEPUR,1632,1632,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,JHARA,1779,1779,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,KUNDAH,1127,1127,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,MAHISARHO,2362,2362,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,"MAHISHI  SOUTH",309,309,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,"MAHISHI NORTH",2915,2915,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,MANOVAR,1973,1973,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,NAHARWAR,2015,2015,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,PASTWAR,3533,3533,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,RAJANPUR,2020,2020,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,"SIRWAR BIRWAR",1945,1945,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,TELHAR,2214,2214,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,"TELWA  EAST",1688,1688,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,"TELWA  WEST",1510,1510,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,MAHISHI,VIRGAON,2207,2207,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,BAKUNIA,2011,2011,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,CHANDRAIN,2487,2487,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,DARHAR,1520,1520,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,HATI,2494,2494,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,KASHIMPUR,2139,2139,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,KEDLI,2351,2351,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,"KHARKA TELWA",2695,2695,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,MOHANPUR,2050,2050,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,MURADPUR,1953,1953,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,"NAUHATTA   EAST",3099,3099,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,"NAUHATTA WEST",3276,3276,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,NAULA,1963,1963,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,SATTOUR,1445,1445,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,NAUHATTA,SHAHPUR,2069,2069,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,BISHANPUR,2728,2728,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,"DHABAULI   SOUTH",1939,1939,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,"DHABAULI   WEST",2270,2270,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,"DHABAULI  EAST",2271,2271,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,"GOLMA  EAST",1802,1802,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,"GOLMA  WEST",2284,2284,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,JAMHRA,2915,2915,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,KISHANPUR,2204,2204,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,PAMA,1396,1396,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,PASTPAR,2415,2415,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,PATARGHAT,PATARGHAT,2702,2702,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,ALANI,2340,2340,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,CHANAN,3159,3159,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,GORDAH,3183,3183,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,HAREBA,3571,3571,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,KABIRA,2473,2473,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,KOPARIA,3745,3745,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,MOBARAKPUR,2706,2706,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,SALKHUA,2288,2288,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,"SAMHAR KHURD",2381,2381,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,SITUAHA,2851,2851,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SALKHUA,UTESHRA,2880,2880,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",BARA,2295,2295,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",BARAHSHER,2019,2019,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",BHELWA,2252,2252,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",BIHRA,3255,3255,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",BIJALPUR,2729,2729,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",BISHANPUR,2480,2480,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",OKAHI,1862,1862,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",PANCHGACHHIYA,2083,2083,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",PATORI,2815,2815,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",PURIKH,1258,1258,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",RAKIYA,1861,1861,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",SATTAR,2890,2890,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",SHAHPUR,4027,4027,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SATTAR  KATTAIYA",SIHOUL,2600,2600,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",BAGHWA,1902,1902,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",BELWARA,2316,2316,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",BHATAUNI,1775,1775,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",CHAKBHARO,2325,2325,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",DHANUPURA,761,761,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",GHOGHSAM,1263,1263,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",KANTHO,1914,1914,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",KATHDUMAR,516,516,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",KHAJURI,2746,2746,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",KHAMAUTI,2766,2766,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",MAHKHAR,1906,1906,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",MOHAMMADPUR,2340,2340,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",MOHANPUR,2376,2376,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",PAHARPUR,1110,1110,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",RAIPURA,2580,2580,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",SARDIHA,1448,1448,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",SAROJA,3313,3313,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",SIMRI,2585,2585,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR","SITANABAD   NORTH",3090,3090,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR","SITANABAD   SOUTH",3932,3932,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",SONPURA,2430,2430,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SIMRI BAKHTIARPUR",TARIYAMA,1369,1369,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,ATALKHA,1852,1852,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,"BAITH MUSHAHRI",1588,1588,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,BARAITH,1772,1772,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,BARGAON,1382,1382,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,BARSAM,1007,1007,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,BIRATPUR,2021,2021,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,DEHAD,1727,1727,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,KASHNAGAR,2942,2942,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,KHAJURAHA,1998,1998,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,KOPA,1624,1624,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,LAGMA,1607,1607,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,"MAHUA  NORTH",2025,2025,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,MANGWAR,2426,2426,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,MOKMA,1691,1691,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,PARARIYA,2591,2591,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,RAGHUNATHPUR,2585,2585,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,SAHSAUL,2260,2260,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,"SARAUNI MADHEPURA",1901,1901,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,SHAHPUR,2062,2062,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,SOHA,2426,2426,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,SONBARSA,SONBARSA,2473,2473,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",AJGAIBA,2001,2001,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",BAIJNATHPUR,2551,2551,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR","CHANDAUR   EAST",1892,1892,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR","CHANDAUR   WEST",1832,1832,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",GAMHARIYA,2492,2492,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",KADHAIYA,5062,5062,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR","KANP   EAST",1931,1931,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR","KANP WEST",1435,1435,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",KHAJURI,2056,2056,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",NADO,1923,1923,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",RAMPUR,2118,2118,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR","RAUTA KHEM",2151,2151,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR","SAHURIYA EAST",2993,2993,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR","SAHURIYA WEST",2316,2316,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR","SAUR BAZAR",3645,3645,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",SUHATH,3202,3202,"5/19/2020 12:00:00 AM"
Bihar,SAHARSA,"SOUR BAZAR",TIRI,1984,1984,"5/19/2020 12:00:00 AM"
