StateName,DistrictName,blockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch
Assam,SIBSAGAR,AMGURI,AMGURI,2916,2916
Assam,SIBSAGAR,AMGURI,BHUYANHAT,2259,2259
Assam,SIBSAGAR,AMGURI,BORAHIBARI,1516,1516
Assam,SIBSAGAR,AMGURI,BORBAM,1006,1006
Assam,SIBSAGAR,AMGURI,BORCHILLA,1067,1067
Assam,SIBSAGAR,AMGURI,BORUAALI,2328,2328
Assam,SIBSAGAR,AMGURI,LALIMCHIGA,1283,1283
Assam,SIBSAGAR,AMGURI,NAMTIALI,2132,2132
Assam,SIBSAGAR,AMGURI,NAMTIDOLE,1461,1461
Assam,SIBSAGAR,AMGURI,PENGERA,1260,1260
Assam,SIBSAGAR,DEMOW,ATHABARI,2525,2525
Assam,SIBSAGAR,DEMOW,"BAKHAR BENGENA",1550,1550
Assam,SIBSAGAR,DEMOW,BORBAM,1547,1550
Assam,SIBSAGAR,DEMOW,DEMOW,2312,2312
Assam,SIBSAGAR,DEMOW,"GOHAIN PUKHURI",1778,1778
Assam,SIBSAGAR,DEMOW,KHORAHAT,1729,1729
Assam,SIBSAGAR,DEMOW,MAHARANI,1151,1151
Assam,SIBSAGAR,DEMOW,NAHAT,1588,1588
Assam,SIBSAGAR,DEMOW,NANGOLAMORA,1385,1385
Assam,SIBSAGAR,DEMOW,NEMUGURI,1930,1930
Assam,SIBSAGAR,DEMOW,NETAIPUKHURI,1629,1629
Assam,SIBSAGAR,DEMOW,"PACHIM PANIDEHING",823,823
Assam,SIBSAGAR,DEMOW,PALENGI,1749,1749
Assam,SIBSAGAR,DEMOW,PANIDEHING,1985,1985
Assam,SIBSAGAR,DEMOW,PARIJAT,1740,1740
Assam,SIBSAGAR,DEMOW,RAJABARI,1288,1288
Assam,SIBSAGAR,DEMOW,RUPJYOTI,1935,1935
Assam,SIBSAGAR,DEMOW,SARAGUA,1235,1235
Assam,SIBSAGAR,DEMOW,SUKANPUKHURI,1331,1331
Assam,SIBSAGAR,DEMOW,THOWRADOLE,1545,1545
Assam,SIBSAGAR,GAURISAGAR,BORUAPUKHURI,1968,1968
Assam,SIBSAGAR,GAURISAGAR,CHARING,2217,2217
Assam,SIBSAGAR,GAURISAGAR,DEWRAJA,1198,1198
Assam,SIBSAGAR,GAURISAGAR,DIKHOWMUKH,1107,1107
Assam,SIBSAGAR,GAURISAGAR,DIKSU,2286,2286
Assam,SIBSAGAR,GAURISAGAR,HAFALUTING,1040,1040
Assam,SIBSAGAR,GAURISAGAR,HATIGHULI,1363,1363
Assam,SIBSAGAR,GAURISAGAR,KAWAIMARI,1866,1866
Assam,SIBSAGAR,GAURISAGAR,KHONAMUKH,2812,2812
Assam,SIBSAGAR,GAURISAGAR,MOGORAHAT,1521,1521
Assam,SIBSAGAR,GAURISAGAR,"MOMAI TAMULI",2369,2369
Assam,SIBSAGAR,GAURISAGAR,MORABAJAR,1393,1393
Assam,SIBSAGAR,GAURISAGAR,RONGPUR,3048,3048
Assam,SIBSAGAR,GAURISAGAR,RUDRASAGAR,1857,1857
Assam,SIBSAGAR,GAURISAGAR,SOLOGURI,699,699
Assam,SIBSAGAR,LAKWA,CHALAPATHER,1639,1639
Assam,SIBSAGAR,LAKWA,CHARAIDEW,2585,2585
Assam,SIBSAGAR,LAKWA,"HOLLOW PHUKON",2260,2260
Assam,SIBSAGAR,LAKWA,NIMONAGORH,1986,1986
Assam,SIBSAGAR,NAZIRA,BANTUNG,1526,1526
Assam,SIBSAGAR,NAZIRA,BIHUBOR,2531,2531
Assam,SIBSAGAR,NAZIRA,BORBARUA,1419,1419
Assam,SIBSAGAR,NAZIRA,BORPHUKAN,2180,2180
Assam,SIBSAGAR,NAZIRA,DOLAKASHARIA,1464,1464
Assam,SIBSAGAR,NAZIRA,GALEKY,1582,1582
Assam,SIBSAGAR,NAZIRA,JOYMOTI,1277,1277
Assam,SIBSAGAR,NAZIRA,KHOTKHOTI,1912,1912
Assam,SIBSAGAR,NAZIRA,LENGIBOR,1862,1862
Assam,SIBSAGAR,NAZIRA,MAKEYPUR,1863,1863
Assam,SIBSAGAR,NAZIRA,NA-PUKHURI,1550,1550
Assam,SIBSAGAR,NAZIRA,"NAPAM BARUWATI",1718,1718
Assam,SIBSAGAR,NAZIRA,NAZIRA,1253,1253
Assam,SIBSAGAR,NAZIRA,"PEOLI PHUKON",1451,1451
Assam,SIBSAGAR,NAZIRA,"PHULPANI BORUA",1635,1635
Assam,SIBSAGAR,NAZIRA,RAHDOI,1217,1217
Assam,SIBSAGAR,NAZIRA,RAJABHETA,1972,1972
Assam,SIBSAGAR,NAZIRA,ROMONI,1372,1372
Assam,SIBSAGAR,NAZIRA,SIMALUGURI,962,962
Assam,SIBSAGAR,NAZIRA,SUKAFA,3033,3033
Assam,SIBSAGAR,SAPEKHATI,AHUKHAT,1727,1727
Assam,SIBSAGAR,SAPEKHATI,BENGENABARI,2112,2112
Assam,SIBSAGAR,SAPEKHATI,BHUYANKHAT,1371,1371
Assam,SIBSAGAR,SAPEKHATI,BORHAT,1687,1687
Assam,SIBSAGAR,SAPEKHATI,BOROGURI,1711,1711
Assam,SIBSAGAR,SAPEKHATI,HARIDEV,1561,1561
Assam,SIBSAGAR,SAPEKHATI,LONGPATIA,1477,1477
Assam,SIBSAGAR,SAPEKHATI,MILONJYOTI,1582,1582
Assam,SIBSAGAR,SAPEKHATI,"NAHAR PUKHURI",1827,1827
Assam,SIBSAGAR,SAPEKHATI,PURBANCHAL,1762,1762
Assam,SIBSAGAR,SAPEKHATI,RAHAN,1042,1042
Assam,SIBSAGAR,SAPEKHATI,SAPEKHATI,2293,2293
Assam,SIBSAGAR,SAPEKHATI,SARUPATHER,1579,1579
Assam,SIBSAGAR,SAPEKHATI,SONALI,1196,1196
Assam,SIBSAGAR,SAPEKHATI,UDOYSHREE,1236,1236
Assam,SIBSAGAR,SIVASAGAR,BANMUKH,1297,1297
Assam,SIBSAGAR,SIVASAGAR,BETBARI,928,928
Assam,SIBSAGAR,SIVASAGAR,CHAULKARA,833,833
Assam,SIBSAGAR,SIVASAGAR,CHEREKAPAR,1891,1891
Assam,SIBSAGAR,SIVASAGAR,"DESANG DHAI ALI",1696,1696
Assam,SIBSAGAR,SIVASAGAR,DESANGMUKH,1913,1913
Assam,SIBSAGAR,SIVASAGAR,DESANGPATHAR,1696,1696
Assam,SIBSAGAR,SIVASAGAR,GARGAON,1488,1488
Assam,SIBSAGAR,SIVASAGAR,HAHCHORA,1184,1184
Assam,SIBSAGAR,SIVASAGAR,KHELUA,1156,1156
Assam,SIBSAGAR,SIVASAGAR,KONWARPUR,1128,1128
Assam,SIBSAGAR,SIVASAGAR,LACHIT,1799,1799
Assam,SIBSAGAR,SIVASAGAR,LAKUWA,1449,1449
Assam,SIBSAGAR,SIVASAGAR,"NAGAR MAHAL",1435,1435
Assam,SIBSAGAR,SIVASAGAR,PANBECHA,1348,1348
Assam,SIBSAGAR,SIVASAGAR,SANTIPUR,910,910
Assam,SIBSAGAR,SIVASAGAR,SILAKUTI,2000,2000
Assam,SIBSAGAR,SONARI,"BHORALI PUKHURI",2003,2003
Assam,SIBSAGAR,SONARI,DEROI,2030,2030
Assam,SIBSAGAR,SONARI,DESANGPANI,1643,1643
Assam,SIBSAGAR,SONARI,DOBA,1569,1569
Assam,SIBSAGAR,SONARI,KAKOTIBARI,1942,1942
Assam,SIBSAGAR,SONARI,KHUMTAI,1936,1936
Assam,SIBSAGAR,SONARI,MILAN,2688,2688
Assam,SIBSAGAR,SONARI,NIZ-KHALOIGHUGRA,1294,1294
Assam,SIBSAGAR,SONARI,SARBODOY,2567,2567
Assam,SIBSAGAR,SONARI,SEPON,2621,2621
Assam,SIBSAGAR,SONARI,UDOIPUR,2228,2228
Assam,SIBSAGAR,"WEST ABHAYAPURI",ABHOYPUR,2555,2555
Assam,SIBSAGAR,"WEST ABHAYAPURI",BHOJU,1687,1707
Assam,SIBSAGAR,"WEST ABHAYAPURI",RAJAPUKHURI,1895,1895
Assam,SIBSAGAR,"WEST ABHAYAPURI",SONARI,2120,2120
Assam,SIBSAGAR,"WEST ABHAYAPURI",SUFFRY,1755,1755
Assam,SIBSAGAR,"WEST ABHAYAPURI",TOWKAK,3988,3988
