StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,SITAMARHI,BAIRGANIA,"AKHTA PASHCHIMI (CHAKWA)",1249,1249,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAIRGANIA,BELGANJ,1736,1736,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAIRGANIA,JAMUA,2912,2912,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAIRGANIA,MUSACHAK,1589,1589,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAIRGANIA,NANDWARA,1907,1907,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAIRGANIA,"PACHTAKI YADU",1692,1692,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAIRGANIA,PARSAUNI,1726,1726,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAIRGANIA,PATAHI,1815,1815,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,"BACHOPATTI NARHA",2067,2067,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,BAJITPUR,1907,1907,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,BAJPATTI,1495,1495,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,"BANGAON DAKSHINI",1640,1640,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,"BANGAON UTTARI",1805,1805,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,"BARRI FULWARIYA",962,962,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,BELAHIYA,2072,2072,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,HARPURWA,1738,1738,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,HUMAYUNPUR,1784,1784,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,MADARIPUR,1529,1529,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,MADHOPUR,1937,1937,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,"MADHUBAN BASAHA PASHCHIMI",1128,1128,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,"MADHUBAN BASAHA PURVI",1499,1499,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,MADHURAPUR,1669,1669,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,"PACHRA NIMAHI",1271,1271,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,PATDAURA,1157,1157,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,PIPRARHI,1008,1008,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,RASALPUR,1534,1534,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BAJPATTI,RATWARA,2431,2431,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,"BAIRAHA BARAHI JIWA",2106,2106,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,BAKHARI,2375,2375,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,"BATHANAHA PASHCHIMI",632,632,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,"BATHNAHA PURVI",1208,1208,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,DAYANCHHAPRA,1281,1281,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,DIGGHI,1560,1560,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,HARNAHIYA,2339,2339,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,"HARPUR BHALAHA",1864,1864,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,KAMALDAH,2349,2349,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,MAHUAWA,753,753,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,MAJHAULIYA,1906,1906,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,"MATIYAR KALA",1970,1970,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,MAUDAH,1285,1285,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,NARAHA,1581,1581,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,"PANDAUL URF PANTH PAKAR",2588,2588,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,RANAULI,1760,1760,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,"RAPAULI RUPAHARA",1449,1449,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,SAHIYARA,830,830,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,"SHAHPUR SHITALPATTI",1021,1021,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,SINGRAHIYA,1721,1721,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BATHANAHA,TURKAULIYA,1306,1306,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,BHANDARI,1356,1356,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,CHANDAULI,1439,1439,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,DUMRA,2951,2951,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,JAFFARPUR,1309,1309,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,KANSAR,1320,1320,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,LOHASI,2244,2244,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,PACHNAUR,2264,2264,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,PATAHI,1231,1231,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BELSAND,"SAULI RUPAULI",1537,1537,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,"BAJITPUR BHAUR",1454,1454,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,BANAUL,2473,2473,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,BOKHRA,2287,2287,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,BUDHNAGARA,1357,1357,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,CHAKAUTI,1644,1644,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,"KHARKA BASANT DAKSHINI",1611,1611,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,"KHARKA BASANT UTTARI",1386,1386,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,KURHAR,2789,2789,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,"MADHUSUDANPUR DUMRI URF MAHISAUTHA",1582,1582,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,POKHRAIRA,1412,1412,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,BOKHRA,SINGHACHAURI,1536,1536,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,CHORAUT,"BARRI BEHTA",1875,1875,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,CHORAUT,BHANTAWARI,1439,1439,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,CHORAUT,"CHORAUT PASHCHIM",2429,2429,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,CHORAUT,"CHORAUT PURVI",1745,1745,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,CHORAUT,"CHORAUT UTTAR",1756,1756,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,CHORAUT,PARIGAMA,1793,1793,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,CHORAUT,YADUPATTI,1941,1941,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,AZAMGARH,2053,2053,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,BARIYARPUR,2302,2302,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,BERWAS,2314,2314,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"BHASAR MACHHAHA DAKSHINI",1436,1436,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"BHASAR MACHHAHA UTTARI",2443,2443,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"BHOOP BHAIRO",2624,2624,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,BISHANPUR,1907,1907,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"CHAK RAJOPATTI",2351,2351,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"HARI CHHAPRA",2201,2201,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,KHAIRWA,1898,1898,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"KUMHARA BISHANPUR",2147,2147,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,LAGMA,2931,2931,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"MADHOPUR RAUSHAN",2129,2129,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,MADHUBAN,2202,2202,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"MEHSAUL GOTE",1943,1943,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"MEHSAUL PASHCHIM",2091,2091,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"MEHSAUL PURVI",3160,3160,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,METHAURA,2041,2041,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,MIRZAPUR,2922,2922,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,MISHRAULIA,1619,1619,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,MURADPUR,1791,1791,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,PAROHA,2093,2093,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"PUNAURA PASHCHIM",788,788,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"PUNAURA PURVI",1546,1546,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"RAMPUR PARORI",1940,1940,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"RANJEETPUR PASHCHIM",1469,1469,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,"RANJEETPUR PURVI",1727,1727,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,DUMRA,RASALPUR,1131,1131,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,MAJORGANJ,BAHERA,1806,1806,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,MAJORGANJ,BASABITTA,1979,1979,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,MAJORGANJ,"DUMARI KALA",3856,3856,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,MAJORGANJ,KHAIRWA,2435,2435,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,MAJORGANJ,"KUARI MADAN",2520,2520,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,MAJORGANJ,MAJORGANJ,1297,1297,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,MAJORGANJ,PACHAHARWA,2084,2084,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,MAJORGANJ,RATANPUR,1988,1988,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,"BAHERA ZAHIDPUR",1410,1410,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,"BATH ASLI",1505,1505,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,BHADIYAN,1772,1772,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,BIRAR,1998,1998,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,DADRI,2197,2197,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,DORPUR,928,928,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,GAURA,1386,1386,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,GAURI,1269,1269,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,JANIPUR,1157,1157,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,"KAURIYA RAIPUR",1468,1468,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,KOILI,1977,1977,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,MAJHAUR,1660,1660,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,MOHINI,985,985,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,"NANPUR  UTTARI",1213,1213,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,"NANPUR DAKSHINI",1684,1684,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,"PANDAUL  BUZURG",799,799,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,NANPUR,SIRSI,1543,1543,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,PARIHAR,BABURBAN,1920,1920,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,PARIHAR,BARAHI,1536,1536,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,PARIHAR,BATHUARA,1828,1828,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,PARIHAR,BAYA,1530,1530,"5/19/2020 12:00:00 AM"
Bihar,SITAMARHI,PARIHAR,"BELA MACHHPAKAUNI",1568,1568,"5/19/2020 12:00:00 AM"
