StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Goa,"SOUTH GOA",CANACONA,AGONDA,328,328,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",CANACONA,COLA,964,964,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",CANACONA,COTIGAO,704,704,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",CANACONA,GAONDONGRI,651,651,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",CANACONA,LOLIEM-POLEM,2162,2162,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",CANACONA,POINGUINIM,1155,1155,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",CANACONA,SHRISTHAL,1147,1147,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",DHARBANDORA,COLEM,1995,1995,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",DHARBANDORA,DHARBANDORA,1164,1164,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",DHARBANDORA,KIRLAPAL-DABHAL,1093,1093,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",DHARBANDORA,MOLLEM,383,383,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",DHARBANDORA,SANCORDEM,825,825,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,CHICALIM,417,417,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,CHICOLNA-BOGMALO,597,597,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,CORTALIM,802,802,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,CUELIM-CANSAULIM,978,978,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,MAJORDA,532,532,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,NAGOA,584,584,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,QUELOSSIM,67,67,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,SANCOALE,510,510,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,VELSAO-PALE,424,424,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",MORMUGAO,VERNA,1811,1811,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",PONDA,BANDORA,2287,2287,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",PONDA,BETORA-NIRANCAL,1179,1179,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",PONDA,"BETQUI, CANDOLA",1207,1207,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",PONDA,BHOMA-ADCOLNA,525,525,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",PONDA,BORIM,1381,1381,"5/19/2020 12:00:00 AM"
Goa,"SOUTH GOA",PONDA,CURTI-KHANDEPAR,3126,3126,"5/19/2020 12:00:00 AM"
