StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,SUPAUL,BASANTPUR,BALBHADARPUR,2927,2927,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,"BANAILI PATTI",2610,2610,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,BASANTPUR,2979,2979,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,BHAGWANPUR,2628,2628,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,BHIMNAGAR,2333,2333,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,"BISHANPUR SHIWRAM",2915,2915,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,DENBANDHE,2837,2837,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,"HIRDAY NAGAR",3118,3118,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,KOCHGAWAN,2851,2851,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,KUSAHAR,2644,2644,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,NIRMALI,2665,2665,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,PARMANANDPUR,3007,3007,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,RATANPUR,3130,3130,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,BASANTPUR,"SATAN PATTI",2792,2792,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,BALUA,2603,2603,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,BHIMPUR,1703,1703,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,CHARNA,1390,1390,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,CHATAPUR,3035,3035,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,CHUNNI,2344,2344,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,DEHARIA,2516,2516,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,GHIBAHA,1721,1721,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,GUWALPARA,2920,2920,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,"JHAKHAR GARH",2190,2190,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,"JIBACHH PUR",2080,2080,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,KATHARA,2383,2383,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,LALGANJ,3123,3123,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,LAXAMINIA,2854,2854,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,"LAXAMIPUR KHUTI",1524,1524,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,MADHOPUR,3166,3166,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,MADHUBANI,2242,2242,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,"MOHAMAD GANJ",2772,2772,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,"RAJESHWARI EAST",2525,2525,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,"RAJESHWARI WEST",1814,1814,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,RAMPUR,3463,3463,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,SOHATHA,1334,1334,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,THUTHI,2856,2856,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,CHHATAPUR,UDHAMPUR,2039,2039,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,KISHANPUR,ANDAULEE,3495,3495,"5/19/2020 12:00:00 AM"
Bihar,SUPAUL,KISHANPUR,BOURAHA,1375,1375,"5/19/2020 12:00:00 AM"
