StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
Bihar,VAISHALI,BHAGWANPUR,"AKBAR MALAHI",2035,2035,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"ASOEE LACHHIRAM",1182,1182,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"BAFAPUR BANTHU",1695,1695,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"HARWANSHPUR BANTHU",2226,2226,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"HUSAINA KHURD",1198,1198,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"JAHANGIRPUR PATEDHA",1578,1578,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,KARHARI,1437,1437,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"KIRATPUR RAJA RAM",1096,1096,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"MADHOPUR MAHODAT",1059,1059,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"MADHOPUR RAM",1194,1194,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,MAHAMDABAD,2716,2716,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"MAJHAULI MAHMADPUR BUZURG",1413,1413,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,MANGANPUR,1111,1111,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"MIYA BAIRO",1885,1885,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"PRATAPTAND  EAST",2677,2677,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"PRATAPTAND  WEST",981,981,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"RAGHUNATHPUR IMADPUR",1232,1232,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,RATANPURA,1725,1725,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,SAHATHA,2366,2366,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"SHAHMIYA ROHUA",1261,1261,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BHAGWANPUR,"SHAMBHOPUR KOWARI",1222,1222,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,AMER,2884,2884,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,"BAJITPUR SAIDAT",3067,3067,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,BIDUPUR,984,984,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,"CHAKATH  KURSI KUSHIYARI",1263,1263,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,"CHAKSIKANDAR   (KALYANPUR)",1634,1634,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,CHECHAR,1577,1577,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,"DAUD NAGAR",585,585,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,"DILAWARPUR GOBARDHAN",1559,1559,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,JURAWANPUR,1336,1336,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,KANCHANPUR,2276,2276,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,KATHAULIA,0,0,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,"KHANPUR PAKRI",579,579,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,KHILWAT,997,997,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,KUTUBPUR,4224,4224,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,MAILE,3142,3142,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,MAJHAULI,1774,1774,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,MAJLISPUR,943,943,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,MATHURA,3033,3033,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,NAWANAGAR,2280,2280,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,RAHIMAPUR,1242,1242,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,RAJASAN,2809,2809,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,"SAIDPUR GANESH",968,968,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,SHAHDULLAHPUR,1678,1678,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,BIDUPUR,"SITALPUR KAMALPUR",2476,2476,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,ABAVAKARPUR,1200,1200,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"AKHTIYARPUR SEHAN",1591,1591,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"BASTI SARSIKAN",1884,1884,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"CHEHRA KALAN",2495,2495,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,CHHAURAHI,1805,1805,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"KARHATIYA BUZURG",2327,2327,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"KHAJE CHAND CHHAPRA",1918,1918,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"MANSURPUR HALAIYA",1188,1188,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"MATHNA MILIK",1467,1467,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"RASULPUR FATAH",1857,1857,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"SHAHPUR KHURD",1356,1356,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,CHEHRAKALA,"VISHUNPUR  ARRA",2211,2211,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,DESRI,AZAMPUR,3231,3231,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,DESRI,BHIKHANPURA,2780,2780,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,DESRI,DESRI,3308,3308,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,DESRI,"DHARAMPUR RAMRAI",3080,3080,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,DESRI,JAFRABAD,1588,1588,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,DESRI,"JAHANGIRPUR SHAM",3930,3930,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,DESRI,"RASULPUR HABIB",3335,3335,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,DESRI,UPHRAUL,3674,3674,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,BAKSAMA,1402,1402,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"BHANPUR BAREWA",1125,1125,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"BHUALPUR URF BAHADURPUR",825,825,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"ENAYAT NAGAR",2564,2564,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"GORAUL BHAGWANPUR",959,959,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,ISMAILPUR,2940,2940,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"KATAR MALA",4012,4012,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"LODI PUR",968,968,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"MOHAMADPUR POJHA",1179,1179,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"PIRAPUR MATHURA",1386,1386,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"PIROI SHAMSUDDIN",1083,1083,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"RASULPUR KORIGAWAN",1547,1547,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"RASULPUR TURKI",1487,1487,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,GARAUL,"SONDHO DULLAH",1518,1518,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"AFAJALPUR DHOBGHATTI",1145,1145,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,ANDHARWARA,1758,1758,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,ARARAH,836,836,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,BAHUARA,869,869,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"BISHUNPUR BALADHARI",1498,1498,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"BISHUNPUR BASANT",455,455,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"CHAKUNDA URF MILKI",1143,1143,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"DAULAT PUR DEWARIA",711,711,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"DAULATPUR CHANDI",852,852,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,DAYALPUR,978,978,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"DIGHIKALA  EAST",995,995,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"DIGHIKALA  WEST",1418,1418,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"GADAI SARAI",801,801,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"GOSHPUR EZRA",957,957,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,HILALPUR,682,682,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,ISHMAILPUR,1105,1105,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"KASHIPUR CHAKBIBI",2456,2456,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,KERNPURA,2012,2012,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,MANUA,1668,1668,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,PAHETIYA,1045,1045,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"PANAPUR LANGA",947,947,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,SENDUARY,844,844,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"SUHDULAH PUR SATAN",794,794,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,SULTANPUR,716,716,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"THATHAN BUZURG",607,607,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,HAJIPUR,"VISHUNPUR VASANT URF SHUBHAI",1492,1492,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,ADALPUR,1876,1876,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,ARNIYA,3253,3253,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"BAHSI SAIDPUR",1623,1623,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,BASANTPUR,1825,1825,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"BORHAN URF RASULPUR GAUS",3165,3165,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"CHAND SARAI",2832,2832,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"DIH BUCHAULI",2197,2197,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,HARPRASAD,1570,1570,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"HAZRAT JANDAHA",1789,1789,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,KHOPI,3371,3371,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"LAXMIPUR BARHBATTA",2765,2765,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,LOMA,2304,2304,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,MAHIPURA,2644,2644,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,MAHISAUR,2232,2232,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"MANSINGHPUR BIJHRAULI",2021,2021,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"MOHIUDDINPUR GARAHI",1506,1506,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"MUKUNDPUR BHATH",936,936,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"NARI KHURD",1311,1311,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,PEERAPUR,3161,3161,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"RASULPUR PURSHOTTAM",2652,2652,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"SAID MOHAMMAD URF SALHA",2683,2683,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,SOHRATHI,1907,1907,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,JANDAHA,"VISHUNPUR BEDAULIYA",2522,2522,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,ANAWARPUR,1646,1646,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"ATWARPUR SISAULA",1790,1790,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"BASANTA JAHANABAD",2307,2307,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"BHAUTAULI BHAGWAN",1191,1191,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"GHATARO CHATURBHUJ  MIDDLE",2402,2402,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"GHATARO CHATURBHUJ SOUTH",2326,2326,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,GURMIYA,1378,1378,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,JALALPUR,2276,2276,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"KARATAHA BUZURG",2318,2318,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,KHARAUNA,1651,1651,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"LAXMI NARAYANPUR",974,974,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"PAURA MADAN SINGH",1319,1319,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,PURAINIA,2141,2141,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"PURAN TAND",2122,2122,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,PURKHAULI,1615,1615,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,RIKHAR,1532,1532,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,SARARIA,1733,1733,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,SHAHDULLAHPUR,2060,2060,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"SHITAL BHAKURAHAR",941,941,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,"SIRSA BIRAN",1798,1798,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,LALGANJ,YUSUFPUR,1346,1346,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,"ALIPUR HATTA",1506,1506,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,"BASUDEVPUR CHANDEL",1305,1305,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,CHAMARHARA,1954,1954,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,DEDHPURA,2671,2671,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,GORIGAMA,1901,1901,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,"HASANPUR NORTH",484,484,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,"HASANPUR SOUTH",1006,1006,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,KARNAUTI,1180,1180,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,"LAVAPUR MAHNAR",2278,2278,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,"LAVAPUR NARAYAN",1440,1440,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,MAHINDWARA,2688,2688,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,MOHMADPUR,1277,1277,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,"PAHARPUR VISHUNPUR",1043,1043,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHNAR,SARMASTPUR,2449,2449,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,BHADWAS,598,598,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"FATAHPUR PAKRI",2022,2022,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,FULWARIA,2099,2099,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"GAUSPUR CHAKMAZAHID",1096,1096,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,GOVINDPUR,971,971,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"HASANPUR OSTI",2060,2060,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"JAHANGIRPUR SALKHANNI",1885,1885,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"JALALPUR GANGTI",733,733,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"KANHAULI DHANRAJ",716,716,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"KANHAULI VISHANPARSI",2620,2620,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"LAXMI NARAYANPUR",1540,1540,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,MANGURAHI,1563,1563,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"MIRZA NAGAR",1456,1456,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"RAMPUR CHANDRABHAN URF DAGRU",2069,2069,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"RASALPUR URF MADHAUL",1328,1328,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"RASULPUR MOBARAK",1712,1712,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,SAMASPURA,1319,1319,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"SHERPUR CHATWARA",2579,2579,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"SHERPUR MANIKPUR",1463,1463,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"SINGHARA NORTH",1685,1685,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"SINGHARA SOUTH",2129,2129,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"SUPAUL TARIA",1546,1546,"5/19/2020 12:00:00 AM"
Bihar,VAISHALI,MAHUA,"TAJPUR BUZURG",1498,1498,"5/19/2020 12:00:00 AM"
