StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,ATCHUTHAPURAM,541,541,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,BHOGAPURAM,427,427,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,CHEEMALAPALLI,687,687,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,CHIPPADA,22,22,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,CHODAPALLI,916,916,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,DIBBAPALEM,232,232,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,DOPPERLA,409,409,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,DOSURU,504,504,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,DUPPITURU,239,239,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,HARIPALEM,965,965,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,IRUVADA,252,252,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,JAGGANNAPETA,258,258,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,JANGULURU,153,153,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,KHAJIPALEM,301,301,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,KONDAKARLA,770,770,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,MADUTHURU,811,811,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,MARUTURU,204,204,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,MELUPAKAJAGANNADHAPURAM,487,487,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,NUNAPARTHI,451,451,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,PEDAPADU,701,701,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,PUDIMADAKA,1709,1709,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,SOMAVARAM,355,355,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,TANTADI,386,386,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,THIMMARAJUPETA,514,514,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,UPPAVARAM,593,593,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,VEDURUVADA,459,459,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ACHUTAPURAM,YERRAVARAM,488,488,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,AKKIREDDIPALEM,567,567,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,BHATLAPUDI,388,388,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,BOWLUVADA,747,747,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,CH.N.AGRAHARAM,433,433,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,DIBBAPALEM,402,402,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,GOLAGAM,751,751,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,GOPALAPURAM,415,415,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,KODURU,779,779,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,KONDUPALEM,432,432,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,KOPPAKA,740,740,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,KOTHURU,1056,1056,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,KUNCHANGI,667,667,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,KUNDRAM,470,470,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,MAKAVARAM,267,267,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,MAMIDIPALEM,497,497,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,MAREDUPUDI,561,561,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,MARTURU,773,773,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,METTAPALEM,239,239,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,"P.S. PALEM",269,269,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,PAPAYYAPALEM,164,164,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VISAKHAPATNAM,ANAKAPALLE,PISINIKADA,732,732,"5/19/2020 12:00:00 AM"
