StateName,DistrictName,BlockName,GramPanchayatName,IHHLTotalAsPerDetails,IHHLTotalAch,Date
"Andhra Pradesh",VIZIANAGARAM,BADANGI,AKULAKATTA,327,327,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,ANAVARAM,463,463,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,BADANGI,600,600,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,BEEMAVARAM,392,392,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,BOTCHAVANIVALASA,640,640,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,DONKINIVALASA,316,316,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,GAJARAYUNIVALASA,403,403,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,GOLLADHI,633,633,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,GUDEPUVALASA,427,427,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,KODURU,895,895,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,KOTIPALLI,400,400,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,LAKSHMIPURAM,168,168,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,MALLAMPETA,200,200,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,MUGADA,895,895,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,P.VENKAMPETA,345,345,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PALTHERU,474,474,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PEDAPALLI,258,258,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PINAPENKI,311,311,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PINDRANGIVALASA,234,234,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PINNAVALASA,374,374,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,PUDIVALASA,178,178,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,REJERU,465,465,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,THENTUVALASA,289,289,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,VADADA,640,640,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BADANGI,VEERASAGARAM,329,329,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,AJJADA,445,445,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,AMPAVALLI,413,413,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,ARASADA,794,794,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,BALIJIPETA,552,552,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,BARLI,446,446,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,CHAKARAPALLI,429,429,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,CHILAKALAPALLI,376,376,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,GALAVALLI,208,208,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,GANGADA,624,624,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,MIRTHIVALASA,518,518,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,NARANNAIDUVALASA,353,353,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,NARAYANAPURAM,581,581,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,NOOKALAWADA,428,428,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PADAMAYAVALASA,283,283,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PALAGARA,480,480,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PANUKUVALASA,418,418,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PEDAPENKI,514,514,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,PEDDIMPETA,234,234,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,SIVARAMAPURAM,347,347,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,SUBHADRA,554,554,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,TUMARADA,848,848,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,VANTARAM,302,302,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,VENGALARAYAPURAM,282,282,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BALIJIPETA,VENGAPURAM,336,336,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,A.RAVIVALASA,520,520,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,BASAVAPALEM(THUDEM),453,453,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,BHOGAPURAM,2023,2023,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,BYREDDIPALEM,435,435,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,CHAKIVALASA,338,338,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,"CHEPALA KANCHERU",577,577,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,CHERUKUPALLI,348,348,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,DALLIPETA,256,256,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,GUDEPUVALASA,368,368,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,GUDIVADA,801,801,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,KANCHERU,582,582,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,KAVULAVADA,637,637,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,KONDRAJUPALEM,347,347,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,LINGALAVALASA,496,496,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,MUKKAM,741,741,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,MUNJERU,994,994,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,NANDIGAM,405,405,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,POLIPILLI,815,815,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,RAJAPULOVA,668,668,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,RAMACHANDRAPETA,513,513,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,RAVADA,653,653,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BHOGHAPURAM,SAVARAVILLI,658,658,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,ALAJANGI,758,758,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,CH.BODDAVALASA,574,574,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,CHINTADA,796,796,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,DIBBAGUDIVALASA,502,502,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,"GONGADA VALASA",346,346,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,GOPALARAYUDUPETA,672,672,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,"GORLASITARAMA PURAM",276,276,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,J.RANGARAYAPURAM@KVPETA,249,249,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,JAGANNADHAPURAM,366,366,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,KALAVARI,672,672,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,KAMMAVALASA,361,361,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,KARADA,557,557,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,"KASIMDORA VALASA",340,340,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,KINTHALAVANIPETA,492,492,"5/19/2020 12:00:00 AM"
"Andhra Pradesh",VIZIANAGARAM,BOBBILI,KOMATIPALLI,597,597,"5/19/2020 12:00:00 AM"
