state_name,district_name,block_name,panchayat_name,villagen_name,habitation_name,habitation_id,households,house_connection_by_pws,ispws,gen_current_pop,sc_current_pop,st_current_pop,total_current_pop,water_quality_contamination,update_date
Karnataka,"Chik Ballapur",Chikballapur,Muddenahally,NA,Chigatenahally,0000384456,43,0,Yes,33,96,72,201,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Muddenahally,NA,Kanganahally,0000384461,204,6,Yes,254,339,345,938,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Muddenahally,NA,Dinnur,0000384466,57,0,Yes,102,74,58,234,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Thippenahally,NA,Thippenahally,0000384474,405,362,Yes,958,655,0,1613,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Posettihally,NA,Posettihally,0000384481,255,61,Yes,612,472,62,1146,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Posettihally,NA,Yapalahally,0000384482,58,21,Yes,132,24,135,291,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Avalagurki,NA,Arikere,0000384501,96,5,Yes,314,62,2,378,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Avalagurki,NA,Avalagurki,0000384503,297,69,Yes,565,530,218,1313,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Gollahally,NA,Pyur,0000384512,17,0,Yes,20,48,9,77,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Gollahally,NA,Kethenahally,0000384517,235,63,Yes,579,159,429,1167,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Gollahally,NA,Kothanur,0000384519,172,0,Yes,522,260,0,782,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Gollahally,NA,Yerranagenahalli,0000384520,60,0,Yes,200,71,30,301,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Gollahally,NA,Narenahally,0000384521,13,0,Yes,63,0,0,63,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Gollahally,NA,Nallakadhirenahalli,0000384522,34,0,Yes,65,107,0,172,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Harobande,NA,"Jadena Hally",0000384527,49,0,Yes,94,140,0,234,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Harobande,NA,Devasthanahosahally,0000384528,197,52,Yes,513,485,0,998,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Angarekanahally,NA,Nanjapura,0001623837,38,0,Yes,142,42,3,187,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Aruru,NA,Adegarahalli,0001623838,49,0,Yes,228,40,0,268,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Addagallu,NA,Bisaigarahalli,0001623839,25,0,Yes,130,32,27,189,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Gollahally,NA,Motlur,0001623849,11,0,Yes,19,12,10,41,NA,2024-06-07
Karnataka,"Chik Ballapur",Chikballapur,Gollahally,NA,Anemodagu,0001623852,92,0,Yes,198,129,105,432,NA,2024-06-07
