state_name,district_name,block_name,panchayat_name,villagen_name,habitation_name,habitation_id,households,house_connection_by_pws,ispws,gen_current_pop,sc_current_pop,st_current_pop,total_current_pop,water_quality_contamination,update_date
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-a,NA,Manchpura,0000355578,12,12,Yes,60,0,0,60,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Lopara-b,NA,Tunder,0001781549,12,12,Yes,100,0,0,100,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,Dangdoor,0001781551,47,45,Yes,200,0,0,200,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-a,NA,Suied,0001781594,15,15,Yes,120,0,0,120,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Lopara-b,NA,Prangas,0001785503,9,9,Yes,80,0,0,80,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-b,NA,Loharna-b,0001817027,150,0,Yes,750,0,0,750,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Janakpur,NA,Panjdhara,0001857386,110,6,Yes,500,0,0,500,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Janakpur,NA,"Nath Nallah",0001857401,70,0,Yes,300,0,0,300,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-a,NA,Honzer,0001857405,335,0,Yes,2000,0,0,2000,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Lopara-b,NA,Lopara,0001857430,171,10,Yes,1024,0,0,1024,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,Tander,0001857501,88,88,Yes,400,0,0,400,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,"Sewar Bati",0001857504,55,55,Yes,210,0,0,210,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-a,NA,Paloth,0000355580,5,5,Yes,40,0,0,40,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-a,NA,Gugath,0001781554,110,19,Yes,550,0,0,550,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Lopara-b,NA,Batpura,0001781589,110,110,Yes,830,0,0,830,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,Ekhala,0001781591,50,10,Yes,200,0,0,200,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Chichha,NA,Kiyar,0001781595,170,70,Yes,600,0,0,600,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-b,NA,Nanth,0001781597,120,0,Yes,600,0,0,600,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Janakpur,NA,Janakpur,0001818119,200,15,Yes,1050,0,0,1050,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Chichha,NA,"Gujjer Kothan",0001857364,150,50,Yes,700,0,172,872,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Janakpur,NA,Sirshi,0001857382,90,0,Yes,350,0,0,350,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Janakpur,NA,Pohar,0001857396,90,0,Yes,350,0,0,350,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-b,NA,Krusa/sagarna,0001857479,210,0,Yes,1100,0,0,1100,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-b,NA,Krisa,0001857499,200,2,Yes,1000,0,0,1000,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-a,NA,Dandal,0000355576,130,71,Yes,590,0,10,600,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-a,NA,Alkanda,0000355579,9,9,Yes,65,0,0,65,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,Sewerbatti,0001781550,47,44,Yes,189,0,0,189,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-b,NA,Honzer,0001781596,150,50,Yes,950,0,0,950,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Lopara-a,NA,Khraipakun,0001785046,60,11,Yes,200,0,0,200,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-a,NA,Lohrana,0001816506,282,0,Yes,1621,0,0,1621,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,Sounder-c,0001817018,60,60,Yes,300,0,0,300,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Lopara-b,NA,Lopara-b,0001817019,171,0,Yes,1024,0,0,1024,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,Khrayal/karool,0001857500,60,60,Yes,250,0,0,250,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-a,NA,Loharna,0000355577,31,20,Yes,200,0,0,200,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,"Khrayal Karool",0001781548,58,50,Yes,189,0,0,189,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Lopara-a,NA,Lopara,0001781590,420,163,Yes,2100,0,0,2100,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,Pinjrari,0001781592,53,53,Yes,189,0,0,189,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,"Tunder Upper",0001838936,90,90,Yes,410,0,0,410,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-c,NA,"Tunder Lower",0001839123,100,100,Yes,500,0,0,500,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Loharna-a,NA,"Loharna A",0001857406,282,0,Yes,1621,0,0,1621,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-a,NA,"Kalnoo Sounder",0001857475,120,120,Yes,550,0,0,550,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Chichha,NA,"Kholian Dachhan",0001857369,100,32,Yes,500,0,0,500,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Janakpur,NA,Suid,0001857392,90,4,Yes,400,0,0,400,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Janakpur,NA,Dilgoth,0001857398,90,0,Yes,360,0,0,360,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Lopara-a,NA,Khraipakan,0001857426,200,0,Yes,750,0,0,750,NA,2024-06-07
"Jammu & Kashmir",Kishtwar,Dachan,Sounder-a,NA,"Kibber F.c",0001857446,150,150,Yes,700,0,0,700,NA,2024-06-07
