state_name,district_name,block_name,panchayat_name,villagen_name,habitation_name,habitation_id,households,house_connection_by_pws,ispws,gen_current_pop,sc_current_pop,st_current_pop,total_current_pop,water_quality_contamination,update_date
Karnataka,"Bangalore Rural",Dodballapur,Hanabe,NA,Karepura,0000362986,79,0,Yes,588,92,0,680,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hanabe,NA,Chikkanahally,0000362987,225,0,Yes,1470,130,0,1600,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Heggadahally,NA,Kurubarahally,0000362995,43,0,Yes,47,26,108,181,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Honnavara,NA,Honnadevipura,0000363006,72,0,Yes,200,92,0,292,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Honnavara,NA,Kammasandra,0000363015,88,39,Yes,190,128,0,318,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Honnavara,NA,Chikkavadagere,0000363017,15,2,Yes,35,19,0,54,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hosahally,NA,Vabasandra,0000363031,47,0,Yes,48,79,64,191,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hosahally,NA,Gundamgere,0000363033,659,168,Yes,1255,715,375,2345,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hosahally,NA,Ojenahally,0000363034,110,0,Yes,395,9,23,427,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hosahally,NA,Sonnenahally,0000363035,80,0,Yes,258,44,10,312,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hulikunte,NA,Muthukadahally,0000363043,46,0,Yes,194,0,5,199,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hulikunte,NA,Tubukunte,0000363047,125,0,Yes,312,78,0,390,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hulikunte,NA,Hunsepalya,0000363048,78,0,Yes,278,75,0,353,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hulikunte,NA,Inahalli,0000363052,157,0,Yes,578,279,1,858,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kadanuru,NA,Madagondanahally,0000363057,208,85,Yes,765,278,0,1043,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kadanuru,NA,Muppadighatta,0000363059,114,57,Yes,378,192,0,570,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kanasavadi,NA,Kanasavadi,0000363063,538,189,Yes,1806,226,121,2153,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kanasavadi,NA,Nagenahally,0000363068,129,0,Yes,401,81,3,485,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kanasavadi,NA,Yelladahally,0000363071,34,0,Yes,115,20,1,136,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kanasavadi,NA,Marasandra,0000363073,236,72,Yes,599,215,94,908,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kanasavadi,NA,Ramadevanahally,0000363075,224,78,Yes,782,177,94,1053,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kantanakunte,NA,Mallathahally,0000363080,271,2,Yes,527,406,20,953,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Aralumallige,NA,Allahalli,0000362867,336,37,Yes,1298,93,7,1398,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Arodi,NA,Harohalli,0000362870,20,0,Yes,0,0,128,128,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Arodi,NA,Javaraianapalya,0000362885,16,10,Yes,0,75,0,75,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Arodi,NA,Palanahally,0000362887,26,0,Yes,24,0,34,58,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Arodi,NA,Vaddanahally,0000362889,98,4,Yes,426,233,6,665,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Bashettihalli,NA,Yellupura,0000362900,676,8,Yes,1975,86,191,2252,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Bhaktharahally,NA,Kangalapura,0000362910,72,0,Yes,199,86,3,288,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Bhaktharahally,NA,Byappanahally,0000362919,130,0,Yes,410,93,47,550,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Doddabelavangala,NA,Doddabelavangala,0000362940,904,312,Yes,2940,548,126,3614,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Doddatumukuru,NA,Gejjagadahally,0000362954,248,11,Yes,732,179,5,916,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hadonahlly,NA,Gollahally,0000362965,81,0,Yes,238,85,0,323,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hadonahlly,NA,Durgenahally,0000362966,202,0,Yes,694,196,8,898,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hadripura,NA,Hadripura,0000362969,291,128,Yes,576,277,18,871,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hadripura,NA,Chikkahejjaji,0000362970,646,137,Yes,1053,104,390,1547,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Hadripura,NA,"Madhurana Hosahally",0000362972,164,0,Yes,393,122,17,532,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kodigehally,NA,Palanajogihally,0000363108,1370,27,Yes,4904,785,94,5783,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Majarahosahally,NA,Chikkatumakur,0000363120,223,122,Yes,476,392,1,869,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melekote,NA,Melekote,0000363123,478,68,Yes,1504,270,135,1909,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melekote,NA,Marahally,0000363124,110,0,Yes,298,118,0,416,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melekote,NA,Bhumenahally,0000363126,167,0,Yes,450,140,70,660,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melekote,NA,Sonnapura,0000363135,25,0,Yes,100,0,0,100,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melinajoganahally,NA,Gunjuru,0000363149,212,55,Yes,441,253,148,842,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,"Sakkare Gollahally",NA,Chikkamankanala,0000363176,125,0,Yes,398,90,0,488,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,"Sakkare Gollahally",NA,"Kamana Agrahara",0000363177,92,0,Yes,288,82,0,370,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,"Sakkare Gollahally",NA,Kooligere,0000363178,120,0,Yes,272,111,93,476,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,"Sakkare Gollahally",NA,Sonnenahally,0000363182,128,0,Yes,391,117,0,508,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Sasalu,NA,Annayanapalya,0000363184,53,0,Yes,116,85,10,211,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Sasalu,NA,Dasarapalya,0000363187,68,0,Yes,270,0,1,271,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Sasalu,NA,Sriramanahally,0000363194,85,0,Yes,234,103,0,337,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Sasalu,NA,Nagalapura,0000363199,71,0,Yes,218,63,0,281,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Sasalu,NA,Channaveeranahally,0000363200,182,0,Yes,604,99,14,717,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Tubugere,NA,Lakkasandra,0000363229,21,0,Yes,74,10,0,84,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Tubugere,NA,Kallukotea,0000363235,92,0,Yes,181,180,0,361,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Bhaktharahally,NA,Kollipalya,0001623763,84,2,Yes,250,0,0,250,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kanasavadi,NA,"Kannamangala Colony",0001623779,25,0,Yes,72,20,13,105,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kantanakunte,NA,"Thapasihally Colony",0001623781,40,0,Yes,98,25,18,141,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Sasalu,NA,Thodalabande,0001623803,74,0,Yes,296,0,0,296,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Thippuru,NA,"Nellukunte Palya",0001659180,42,0,Yes,120,42,0,162,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kantanakunte,NA,Thogarighatta,0000363083,133,0,Yes,504,26,0,530,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kestur,NA,Kestur,0000363089,257,178,Yes,634,394,0,1028,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kestur,NA,Menasi,0000363090,236,40,Yes,281,659,0,940,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kestur,NA,Kuntanahally,0000363096,172,0,Yes,647,38,0,685,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Kodigehally,NA,Kakkehally,0000363101,34,0,Yes,13,123,0,136,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Konaghatta,NA,Konaghatta,0000363109,575,300,Yes,1604,620,68,2292,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Konaghatta,NA,Kodihally,0000363110,319,168,Yes,807,351,117,1275,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Konaghatta,NA,Linganahally,0000363113,324,180,Yes,718,432,151,1301,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Konaghatta,NA,Ancharahally,0000363114,93,0,Yes,61,80,229,370,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Majarahosahally,NA,Thippapura,0000363118,611,87,Yes,1968,426,52,2446,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melekote,NA,Gantiganahally,0000363125,331,0,Yes,880,400,42,1322,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melekote,NA,Doddarayappanahally,0000363127,132,0,Yes,346,174,4,524,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melekote,NA,Mukkenahally,0000363132,91,0,Yes,214,104,26,344,NA,2024-06-07
Karnataka,"Bangalore Rural",Dodballapur,Melekote,NA,"Melekote Cross",0000363133,120,0,Yes,291,100,77,468,NA,2024-06-07
