state_name,district_name,block_name,panchayat_name,villagen_name,habitation_name,habitation_id,households,house_connection_by_pws,ispws,gen_current_pop,sc_current_pop,st_current_pop,total_current_pop,water_quality_contamination,update_date
"West Bengal",Birbhum,Murarai-i,Rajgram,NA,Ambhua,0001296462,2024,0,Yes,7883,1091,1150,10124,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Rajgram,NA,Sontoshpur,0001296463,977,0,No,4109,61,740,4910,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Gorsha,NA,Abdullapur,0001296466,356,0,No,1547,69,0,1616,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Gorsha,NA,Shrinibashpur,0001296469,114,0,No,193,375,0,568,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Bartala,0001296488,85,0,No,0,0,477,477,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Sreerampur,0001296497,507,0,No,1625,471,332,2428,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Tegharia,0001296502,168,0,No,20,800,0,820,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Parkandi,0001296508,18,0,No,9,63,10,82,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Palsa,NA,Fatepur,0001296521,225,0,No,623,373,1,997,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Dumurgram,NA,Ganeshpur,0001296528,195,0,No,613,212,0,825,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Dumurgram,NA,Dumurgram,0001296533,1793,0,Yes,7742,586,7,8335,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Murarai,NA,Paniara,0001296534,412,0,No,1786,103,0,1889,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Murarai,NA,Murarai,0001296536,1257,0,Yes,5836,431,19,6286,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Murarai,NA,Ramchandrapur,0001296539,1440,1240,Yes,3477,1635,114,5226,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Murarai,NA,Dadpur,0001296540,284,0,No,884,267,2,1153,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Chatra,NA,Chatra,0001296542,655,0,Yes,2063,663,7,2733,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Chatra,NA,"Bira Bhimpur",0001296548,219,0,No,421,467,1,889,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Chatra,NA,Duria,0001296555,686,0,No,2665,347,0,3012,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Chatra,NA,Khanpur,0001764350,836,0,No,2439,893,8,3340,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Dhenkul,0001789888,40,0,No,200,0,0,200,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Rajbari,0001790407,60,0,No,300,0,0,300,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Rajgram,NA,"Ashman Pur",0001795135,121,0,No,280,150,175,605,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,"Murshid Para",0001798326,68,0,No,100,120,120,340,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Chatra,NA,Ranpur,0001803578,70,0,No,150,110,90,350,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Murarai,NA,"Hazra Dighi Para",0001804778,246,0,No,1200,20,10,1230,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Murarai,NA,"Mohulla Danga",0001804804,306,0,Yes,1500,20,10,1530,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Parkandi,0001806018,100,0,Yes,200,200,100,500,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Sabaipur,0001806039,80,0,No,100,200,100,400,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Murarai,NA,Ghuskira,0001808697,1137,0,No,5236,431,19,5686,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,"Abdulla Pur",0001808816,1031,0,Yes,2860,2183,114,5157,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,"Gopal Pur",0001809277,1031,0,No,2860,2183,114,5157,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Rajgram,NA,Dhuria,0001817842,19,0,No,25,35,39,99,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Rajgram,NA,Rajgram,0001296461,1746,404,Yes,6188,1805,385,8378,Fluoride,2024-05-31
"West Bengal",Birbhum,Murarai-i,Rajgram,NA,Gopalpur,0001296465,1641,0,Yes,4717,1395,2097,8209,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Gorsha,NA,Bhatra,0001296467,318,0,Yes,266,1269,0,1535,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Gorsha,NA,Pera,0001296471,174,0,No,0,812,0,812,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Gorsha,NA,"Rajchandra Pur",0001296473,168,0,No,23,766,0,789,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Gorsha,NA,"Uttar Kasila",0001296477,658,0,Yes,3562,0,0,3562,NA,2024-05-31
"West Bengal",Birbhum,Murarai-i,Mohurapur,NA,Makoa,0001296479,539,0,No,2044,624,0,2668,NA,2024-05-31
