"State Name","District Name","Block Name","Panchayat Name","Village Name","Habitation Name","Quality Parameter",Year
ASSAM,KOKRAJHAR,DOTOMA,SERFANGURI,SERFANGURI(INCLUDING,RUPGAON,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,PUTHIMARI,BANUGAON,BANUGAON,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,PUTHIMARI,BANUGAON,"SOUTH BANUGAON",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,PUTHIMARI,GOPALGAON,KASHIBARI,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,PUTHIMARI,GOPALGAON,"EAST GOPALGAON",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,HABRUBARI,KHUNTHAIBARI,"SOUTH KUNTHAIBARI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,HABRUBARI,FULKUMARI,FULKUMARI,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,HABRUBARI,FULKUMARI,"NORTH SINGIMARI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,HABRUBARI,FULKUMARI,"SOUTH SINGIMARI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,BONGSHIGAON,BONGSHIGAON,"NORTH BONGSIGAON",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,BONGSHIGAON,BONGSHIGAON,"SOUTH BONGSIGAON",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,BONGSHIGAON,GHILAGURI,GHILAGURI,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,BONGSHIGAON,GHORAMAR,"WEST GHORAMARI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,BONORGAON,TAKTARA,"2 NO TAKTARA",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DHAWLIGURI,KHARIDAMODATI,"KHARIDA MADATE",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DHAWLIGURI,KHARIDAMODATI,"NORTH KHARIDA MADATE",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DHAWLIGURI,GHOSHKATA,"PUB GHOSKATA",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DHAWLIGURI,GHOSHKATA,"PACHIM GHOSKATA",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DHAWLIGURI,KAMARPARA,KAMARPARA,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DHAWLIGURI,MOLANDUBI,MOLONDUBI,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DHAWLIGURI,MOLANDUBI,"PUB MOLONDUBI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DHAWLIGURI,MOLANDUBI,"PACHIM MOLONDUBI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DUMURIGURI,LAWDANGA,LAODANGA,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DUMURIGURI,SURJYAKHATA,SURJYAKHATA,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,DUMURIGURI,SHYAMTHAIBARI,"EAST SHYAMTHAIBARI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,SAKTI-ASHRAM,BELDIABATHAN,BALDIABATHAN,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,SAKTI-ASHRAM,BELDIABATHAN,"MADYA BALDIABATHAN",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,SAKTI-ASHRAM,KHUKSHI,KHUKSHI,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,SAKTI-ASHRAM,KHUKSHI,"UTTAR KHUKSHI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,SAKTI-ASHRAM,KHUKSHI,"PUB KHUKSHI",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,CHITHILA,CHITHILAGRAM,SALBARI,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,CHITHILA,CHITHILAGRAM,MISTRIPARA,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,CHITHILA,TEKARKHATA,TEKRAKHATA,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,CHITHILA,BOGARIGURI,BAZERPARA,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,CHITHILA,BINNACHORA,"MADHA BINNACHARA",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,KARAITARI,SANDALARTARI,SANDALARTARI,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,FAKIRAGRAM,FAKIRAGRAM,"PURANI BAZAR",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,FAKIRAGRAM,FAKIRAGRAM,"UTTAR NATHPARA",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,PACHAGARH,RAVAPARA,CHOKRAPARA,Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,PACHAGARH,RAVAPARA,"UTTAR PUB RAVAPARA",Iron,1-04-2012
ASSAM,KOKRAJHAR,DOTOMA,PACHAGARH,KORAITOLA,MUSLIMPARA,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANISUNDARI,BIKRAMPUR,BIKRAMPUR,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANISUNDARI,BIKRAMPUR,NATUNBASTI,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANISUNDARI,BIKRAMPUR,NALBARI,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANISUNDARI,BIKRAMPUR,"DAKHIN NALBARI",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANISUNDARI,RANISUNDARI,RANISUNDARI,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANISUNDARI,RANISUNDARI,"RANISUNDARI CHAR",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",BENGTOL,"BENGTOL NO.I",BENGTOL-I,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",SUBAIJHAR,SUBAIJHAR,"SUBAIJHAR BOROBASTI",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RUNIKHATA,KANTHALMARI,"KANTHALMARI PUB",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RUNIKHATA,KANTHALMARI,"UTTAR KANTHALMARI",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANCHAIDHAM,"AMGURI II","AMGURI -II",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANCHAIDHAM,GOSSAIGAON,GOSSAIGAON,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANCHAIDHAM,KATHALPARA,KATHALPARA,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANCHAIDHAM,KATHALPARA,"RIFUJI PARA-I",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",RANCHAIDHAM,"PAKRIGURI -II",PAKHIRIGURI-I,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",THAIKAJHORA,"DAKHIN DAKUMGAON","DAKHIN DAKHINGAON",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",SANTIPUR,"BORDANGI F V","BORDANGI F.V.",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",AMTEKA,"AMTEKA F V(INCLUDING","UTTAR AMTEKA",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",AMTEKA,"AMTEKA F V(INCLUDING",TEKHLANGURI,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",AMTEKA,"AMTEKA F V(INCLUDING",GARLAJHORA,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",KHUNGRING,"KHUNGRING F V","KHUNGRING FV",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",KHUNGRING,"KHUNGRING F V",NARENGURI,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",KHUNGRING,"KHUNGRING F V",DOISUMGURI,Iron,1-04-2012
ASSAM,KOKRAJHAR,HATIDHURA,RANGSAPUR,NAISAPUR-MESPARA,TALATOLA,Iron,1-04-2012
ASSAM,KOKRAJHAR,HATIDHURA,RANGSAPUR,POLASHKANDI,PALASHKANDI,Iron,1-04-2012
ASSAM,KOKRAJHAR,HATIDHURA,RANGSAPUR,POLASHKANDI,"PALASHKANDI NORTH",Iron,1-04-2012
ASSAM,KOKRAJHAR,HATIDHURA,RANGSAPUR,POLASHKANDI,"PALASHKANDI WEST",Iron,1-04-2012
ASSAM,KOKRAJHAR,HATIDHURA,FAILAGURI,CHANDRAPUR,KAIRABARI,Iron,1-04-2012
ASSAM,KOKRAJHAR,HATIDHURA,FAILAGURI,CHANDRAPUR,BONKOLPUR,Iron,1-04-2012
ASSAM,KOKRAJHAR,HATIDHURA,FAILAGURI,CHANDRAPUR,AMRAGHUTU,Iron,1-04-2012
ASSAM,KOKRAJHAR,HATIDHURA,FAILAGURI,CHANDRAPUR,CHIROGHUTU,Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",ENKARBARI,PUB-ENKORBARI,"PUB ENKAR BARI",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",ENKARBARI,PUB-ENKORBARI,"KHAL PARA",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",ENKARBARI,"PACHIM ENKORBARI","PACHIM ENKAR BARI",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",ENKARBARI,HASRAOBARI,"PUB HASRABARI",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",ENKARBARI,HASRAOBARI,"BORO BASTI",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",ENKARBARI,"CHATIBOR GAON","MADHYA CHATI BORE GAON",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG",ENKARBARI,"CHATIBOR GAON","UTTAR CHATI BORE GAON]",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG","KAJAL GAON","MADHYAM KAJALGAON","MADHYA KAJAL GAON",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG","KAJAL GAON","DAKHIN AMGURI PT","DAKHIN KAJALGAON",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG","KAJAL GAON",MONGLAGAON,"MONGLAGAON 1",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG","KAJAL GAON",MONGLAGAON,"MONGLAGAON 2",Iron,1-04-2012
ASSAM,CHIRANG,"SIDLI CHIRANG","KAJAL GAON",NILIBARI,NILIBARI,Iron,1-04-2012
